Entry	Base_Accession	Protein_Family	Gene_Name
A0A0K0L4Y8	A0A0K0L4Y8	Not available	PNPLA2
A0A0K2S4Q6	A0A0K2S4Q6	CD300 family	CD300H
A0A0S2Z310	A0A0S2Z310	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	ACVRL1
A0A0S2Z3C7	A0A0S2Z3C7	Not available	CD40
A0A0S2Z3D5	A0A0S2Z3D5	Apolipoprotein A1/A4/E family	APOE
A0A0S2Z3Q4	A0A0S2Z3Q4	CRK family	CRK
A0A0S2Z3S6	A0A0S2Z3S6	Not available	CYBB
A0A0S2Z3W6	A0A0S2Z3W6	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIC subfamily	ATP1A2
A0A0S2Z410	A0A0S2Z410	Short-chain dehydrogenases/reductases (SDR) family	HSD17B10
A0A0S2Z478	A0A0S2Z478	Sauvagine/corticotropin-releasing factor/urotensin I family	CRH
A0A0S2Z4C6	A0A0S2Z4C6	PPP phosphatase family, PP-2B subfamily	PPP3CA
A0A0S2Z4D1	A0A0S2Z4D1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, LKB1 subfamily	STK11
A0A0S2Z4G9	A0A0S2Z4G9	Not available	RNF6
A0A0S2Z4J1	A0A0S2Z4J1	Short-chain dehydrogenases/reductases (SDR) family	HSD17B4
A0A0S2Z4M1	A0A0S2Z4M1	Not available	AXIN1
A0A0S2Z4N5	A0A0S2Z4N5	P53 family	TP63
A0A0S2Z4Q4	A0A0S2Z4Q4	Not available	HGS
A0A0S2Z4U3	A0A0S2Z4U3	Syndecan proteoglycan family	SDC3
A0A0S2Z4Z8	A0A0S2Z4Z8	Protein kinase superfamily, TKL Ser/Thr protein kinase family	RIPK2
A0A0S2Z5G4	A0A0S2Z5G4	BANP/SMAR1 family	BANP
A0A0S2Z5X4	A0A0S2Z5X4	Not available	ZNF688
A0A0U1RQC9	A0A0U1RQC9	P53 family	TP53
A0A0U1RQF0	A0A0U1RQF0	Not available	FASN
A0A0U1RQV4	A0A0U1RQV4	Protein kinase superfamily, AGC Ser/Thr protein kinase family	ROCK1
A0A0U1RRE5	A0A0U1RRE5	Not available	NBDY
A0A0U1WL47	A0A0U1WL47	Not available	PNPLA2
A0A0U2ZQU7	A0A0U2ZQU7	Not available	Not available
A0A140VJC8	A0A140VJC8	APP family	Not available
A0A140VJL2	A0A140VJL2	Thiolase-like superfamily, HMG-CoA synthase family	Not available
A0A140VJL8	A0A140VJL8	Inositol monophosphatase superfamily	Not available
A0A140VJL9	A0A140VJL9	ALAD family	Not available
A0A140VK09	A0A140VK09	Not available	Not available
A0A140VKC1	A0A140VKC1	Eukaryotic diacylglycerol kinase family	Not available
A0A1B0GTG2	A0A1B0GTG2	Aldehyde dehydrogenase family	ALDH7A1
A0A1B0GTM3	A0A1B0GTM3	Acid ceramidase family	ASAH1
A0A1B0GTW7	A0A1B0GTW7	Peptidase M8 family	CIROP
A0A1B0GTY9	A0A1B0GTY9	Aldehyde dehydrogenase family	ALDH7A1
A0A1B0GUA1	A0A1B0GUA1	Aldehyde dehydrogenase family	ALDH7A1
A0A1B0GUA4	A0A1B0GUA4	Acid ceramidase family	ASAH1
A0A1B0GUE3	A0A1B0GUE3	Acid ceramidase family	ASAH1
A0A1B0GUG1	A0A1B0GUG1	Acid ceramidase family	ASAH1
A0A1B0GUH5	A0A1B0GUH5	Acid ceramidase family	ASAH1
A0A1B0GW68	A0A1B0GW68	Acid ceramidase family	ASAH1
A0A1B0GW77	A0A1B0GW77	Aldehyde dehydrogenase family	ALDH7A1
A0A1B0GWI1	A0A1B0GWI1	Not available	CCDC196
A0A1V0DNR7	A0A1V0DNR7	PTEN phosphatase protein family	PTEN
A0A1Y1BBN3	A0A1Y1BBN3	ERG4/ERG24 family	DHCR7
A0A1Y1BG54	A0A1Y1BG54	ERG4/ERG24 family	DHCR7
A0A2K8FKQ1	A0A2K8FKQ1	PI3/PI4-kinase family, Type III PI4K subfamily	PIK3CD
A0A2K8FKV1	A0A2K8FKV1	PI3/PI4-kinase family, Type III PI4K subfamily	PIK3CD
A0A2P9DU05	A0A2P9DU05	Protein kinase superfamily, AGC Ser/Thr protein kinase family	ROCK2
A0A2R8Y4I8	A0A2R8Y4I8	AAA ATPase family, Spastin subfamily	SPAST
A0A2R8Y559	A0A2R8Y559	Histone deacetylase family, HD type 2 subfamily	HDAC6
A0A2R8Y644	A0A2R8Y644	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily; Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	CDK13
A0A2R8Y7D0	A0A2R8Y7D0	Not available	TINCR
A0A2R8YCS4	A0A2R8YCS4	Histone deacetylase family, HD type 2 subfamily	HDAC6
A0A2R8YD28	A0A2R8YD28	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily; Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	CDK13
A0A2R8YD50	A0A2R8YD50	Short-chain dehydrogenases/reductases (SDR) family	HSD17B4
A0A2R8YDE6	A0A2R8YDE6	Histone deacetylase family, HD type 2 subfamily	HDAC6
A0A2R8YF61	A0A2R8YF61	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily; Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	CDK13
A0A2U3TZR0	A0A2U3TZR0	AAA ATPase family, Spastin subfamily	SPAST
A0A384ME25	A0A384ME25	Not available	Not available
A0A384MED8	A0A384MED8	5'(3')-deoxyribonucleotidase family	Not available
A0A384MTR5	A0A384MTR5	RuvB family	Not available
A0A384N611	A0A384N611	Wnt family	Not available
A0A384N647	A0A384N647	Adenylate kinase family, AK3 subfamily	AK4
A0A384NL29	A0A384NL29	Iron/manganese superoxide dismutase family	Not available
A0A384NY87	A0A384NY87	Thiolase-like superfamily, Thiolase family	Not available
A0A384P5C6	A0A384P5C6	Not available	Not available
A0A384P5Q0	A0A384P5Q0	Catalase family	Not available
A0A3B3IRX2	A0A3B3IRX2	Phospholipase A2 family	PLA2G2A
A0A3B3ISY9	A0A3B3ISY9	AGK family	AGK
A0A3B3ISZ0	A0A3B3ISZ0	AGK family	AGK
A0A3B3ITD0	A0A3B3ITD0	AGK family	AGK
A0A3B3ITV0	A0A3B3ITV0	AGK family	AGK
A0A3B3ITX7	A0A3B3ITX7	AGK family	AGK
A0A499FJK2	A0A499FJK2	TGF-beta family	TGFB1
A0A499FJM4	A0A499FJM4	Cytochrome P450 family	CYP3A4
A0A590UJC7	A0A590UJC7	Not available	PLA2G6
A0A5F9ZGX5	A0A5F9ZGX5	Protein kinase superfamily, Tyr protein kinase family	TNK2
A0A5F9ZHJ2	A0A5F9ZHJ2	Protein kinase superfamily, Tyr protein kinase family	TNK2
A0A5F9ZI29	A0A5F9ZI29	Protein kinase superfamily, Tyr protein kinase family	TNK2
A0A669KB12	A0A669KB12	Not available	EP300
A0A6F8P0E0	A0A6F8P0E0	Not available	PPARG5
A0A6G6A825	A0A6G6A825	PTEN phosphatase protein family	Not available
A0A6Q8PF08	A0A6Q8PF08	Not available	PMP22
A0A6Q8PHB5	A0A6Q8PHB5	5'(3')-deoxyribonucleotidase family	NT5C2
A0A6Q8PHP0	A0A6Q8PHP0	5'(3')-deoxyribonucleotidase family	NT5C2
A0A7I2R3P8	A0A7I2R3P8	NLRP family	NLRP3
A0A7I2SVS4	A0A7I2SVS4	Histone deacetylase family, HD type 2 subfamily	HDAC4
A0A7I2V2E0	A0A7I2V2E0	ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily	ABCC1
A0A7I2V2E9	A0A7I2V2E9	Peptidase M2 family	ACE2
A0A7I2V2F9	A0A7I2V2F9	Integrin beta chain family	ITGB1
A0A7I2V3E1	A0A7I2V3E1	ARTD/PARP family	PARP1
A0A7I2V3J4	A0A7I2V3J4	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily; Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	GSK3B
A0A7I2V3N4	A0A7I2V3N4	Peptidase M2 family	ACE2
A0A7I2V3X6	A0A7I2V3X6	Peptidase M2 family	ACE2
A0A7I2V4F4	A0A7I2V4F4	Glycosyltransferase 29 family	ST3GAL4
A0A7I2V4H0	A0A7I2V4H0	Peptidase M2 family	ACE2
A0A7I2V4R4	A0A7I2V4R4	Glycosyltransferase 29 family	ST3GAL4
A0A7I2V4V4	A0A7I2V4V4	Glycosyltransferase 29 family	ST3GAL4
A0A7I2V5F3	A0A7I2V5F3	Glycosyltransferase 29 family	ST3GAL4
A0A7P0RGI5	A0A7P0RGI5	Glycosyltransferase 29 family	ST3GAL4
A0A7P0T828	A0A7P0T828	Not available	PTGS2
A0A7P0TBQ3	A0A7P0TBQ3	Mab-21 family	CGAS
A0A804HHW5	A0A804HHW5	Short-chain dehydrogenases/reductases (SDR) family	HSD17B10
A0A804HI59	A0A804HI59	Peptidyl-alpha-hydroxyglycine alpha-amidating lyase family; Copper type II ascorbate-dependent monooxygenase family	PAM
A0A804HIQ0	A0A804HIQ0	Peptidyl-alpha-hydroxyglycine alpha-amidating lyase family; Copper type II ascorbate-dependent monooxygenase family	PAM
A0A804HJG7	A0A804HJG7	CLASP family	CLASP2
A0A804HKM7	A0A804HKM7	Peptidyl-alpha-hydroxyglycine alpha-amidating lyase family; Copper type II ascorbate-dependent monooxygenase family	PAM
A0A804HKV8	A0A804HKV8	Peptidyl-alpha-hydroxyglycine alpha-amidating lyase family; Copper type II ascorbate-dependent monooxygenase family	PAM
A0A8C8KD64	A0A8C8KD64	Peptidyl-alpha-hydroxyglycine alpha-amidating lyase family; Copper type II ascorbate-dependent monooxygenase family	PAM
A0A8D9PH75	A0A8D9PH75	Glutamate-gated ion channel (TC 1.A.10.1) family	GRIK2
A0A8D9PHB2	A0A8D9PHB2	Glutamate-gated ion channel (TC 1.A.10.1) family, NR2B/GRIN2B subfamily	GRIN2B
A0A8I5KQE6	A0A8I5KQE6	Universal ribosomal protein uS2 family	RPSA2
A0A8I5KRB8	A0A8I5KRB8	Flavin monoamine oxidase family	KDM1A
A0A8I5KRF4	A0A8I5KRF4	Flavin monoamine oxidase family	KDM1A
A0A8I5KRR9	A0A8I5KRR9	ERG4/ERG24 family	DHCR7
A0A8I5KRT9	A0A8I5KRT9	Cytochrome P450 family	CYP51A1
A0A8I5KRX5	A0A8I5KRX5	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily	MAP2K1
A0A8I5KRX9	A0A8I5KRX9	Flavin monoamine oxidase family	KDM1A
A0A8I5KS01	A0A8I5KS01	FMR1 family	FMR1
A0A8I5KSF9	A0A8I5KSF9	PTEN phosphatase protein family	PTEN
A0A8I5KT29	A0A8I5KT29	Flavin monoamine oxidase family	KDM1A
A0A8I5KT56	A0A8I5KT56	FMR1 family	FMR1
A0A8I5KTZ9	A0A8I5KTZ9	FMR1 family	FMR1
A0A8I5KW96	A0A8I5KW96	Adenylate kinase family, AK3 subfamily	AK4P3
A0A8I5KWQ7	A0A8I5KWQ7	Cytochrome P450 family	Not available
A0A8I5KXU4	A0A8I5KXU4	Flavin monoamine oxidase family	KDM1A
A0A8I5KYB4	A0A8I5KYB4	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily	MAP2K1
A0A8I5KYS7	A0A8I5KYS7	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily	MAP2K1
A0A8I5KZ21	A0A8I5KZ21	FMR1 family	FMR1
A0A8I5KZ76	A0A8I5KZ76	Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily	MTM1
A0A8I5KZC4	A0A8I5KZC4	Not available	SHANK3
A0A8I5QJ96	A0A8I5QJ96	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily	MAP2K1
A0A8I5QJJ5	A0A8I5QJJ5	Flavin monoamine oxidase family	KDM1A
A0A8Q3SHM6	A0A8Q3SHM6	Type-B carboxylesterase/lipase family	NLGN1
A0A8S0M502	A0A8S0M502	Peptidase M2 family	ACE2
A0A8V8TL82	A0A8V8TL82	Protein kinase superfamily, AGC Ser/Thr protein kinase family	ROCK2
A0A8V8TLP7	A0A8V8TLP7	CLASP family	CLASP1
A0A8V8TMM0	A0A8V8TMM0	PI3/PI4-kinase family, Type III PI4K subfamily	PIK3CD
A0A8V8TMN5	A0A8V8TMN5	Adenylate kinase family, UMP-CMP kinase subfamily	CMPK1
A0A8V8TPK6	A0A8V8TPK6	PTEN phosphatase protein family	PTEN
A0A8V8TQ23	A0A8V8TQ23	CDP-alcohol phosphatidyltransferase class-I family	CEPT1
A0A8V8TQK9	A0A8V8TQK9	CLASP family	CLASP1
A0A8V8TQL1	A0A8V8TQL1	CDP-alcohol phosphatidyltransferase class-I family	CEPT1
A0A8V8TQX2	A0A8V8TQX2	PTEN phosphatase protein family	PTEN
A0A8V8TRF3	A0A8V8TRF3	CDP-alcohol phosphatidyltransferase class-I family	CEPT1
A0A8V8TRF6	A0A8V8TRF6	CLASP family	CLASP1
A0A8V8TRG9	A0A8V8TRG9	PI3/PI4-kinase family	MTOR
A0AA34QVZ8	A0AA34QVZ8	PTEN phosphatase protein family	PTEN
A0AAG2T947	A0AAG2T947	Sirtuin family, Class I subfamily	SIRT2
A0AAG2UV77	A0AAG2UV77	AB hydrolase superfamily, Lipase family	PNLIPRP2
A0AAG2UW24	A0AAG2UW24	Krueppel C2H2-type zinc-finger protein family	PRDM9
A0AAQ5BGQ0	A0AAQ5BGQ0	AAA ATPase family, Spastin subfamily	SPAST
A0AAQ5BH13	A0AAQ5BH13	PTEN phosphatase protein family	PTEN
A0AAQ5BI03	A0AAQ5BI03	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	TGFBR2
A0ABJ7H8I0	A0ABJ7H8I0	AB hydrolase superfamily, Epoxide hydrolase family	EPHX2
A0AV02	A0AV02	SLC12A transporter family	SLC12A8
A0AV96	A0AV96	RRM RBM47 family	RBM47
A0AVF1	A0AVF1	IFT56 family	IFT56
A0AVG3	A0AVG3	Not available	TSNARE1
A0AVI4	A0AVI4	TMEM129 family	TMEM129
A0AVK6	A0AVK6	E2F/DP family	E2F8
A0AVT1	A0AVT1	Ubiquitin-activating E1 family	UBA6
A0FGR8	A0FGR8	Extended synaptotagmin family	ESYT2
A0FGR9	A0FGR9	Extended synaptotagmin family	ESYT3
A0JLT2	A0JLT2	Mediator complex subunit 19 family	MED19
A0JNW5	A0JNW5	Not available	BLTP3B
A0JP26	A0JP26	POTE family	POTEB3
A0MZ66	A0MZ66	Shootin family	SHTN1
A0MZF5	A0MZF5	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	PRKAA2
A0N0X8	A0N0X8	Cytochrome P450 family	CYP1A1
A0PJK1	A0PJK1	Sodium:solute symporter (SSF) (TC 2.A.21) family	SLC5A10
A0PJY2	A0PJY2	Krueppel C2H2-type zinc-finger protein family	FEZF1
A0PK00	A0PK00	TMEM120 family	TMEM120B
A0PK05	A0PK05	Not available	TMEM72
A0PK11	A0PK11	Clarin family	CLRN2
A1A4E9	A1A4E9	Intermediate filament family	KRT13
A1A4S6	A1A4S6	Not available	ARHGAP10
A1A4Y4	A1A4Y4	TRAFAC class dynamin-like GTPase superfamily, IRG family	IRGM
A1A519	A1A519	FAM170 family	FAM170A
A1A5B4	A1A5B4	Anoctamin family	ANO9
A1A5C7	A1A5C7	Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family	SLC22A23
A1E959	A1E959	ODAM family	ODAM
A1KXE4	A1KXE4	FAM168 family	FAM168B
A1KXE4-2	A1KXE4	FAM168 family	FAM168B
A1KZ92	A1KZ92	Peroxidase family, XPO subfamily	PXDNL
A1L0T0	A1L0T0	TPP enzyme family	HACL2
A1L167	A1L167	Ubiquitin-conjugating enzyme family	UBE2QL1
A1L190	A1L190	Not available	SYCE3
A1L390	A1L390	Not available	PLEKHG3
A1L3X0	A1L3X0	ELO family, ELOVL7 subfamily	ELOVL7
A1L4H1	A1L4H1	Not available	SSC5D
A1L4K1	A1L4K1	Not available	FSD2
A1X283	A1X283	SH3PXD2 family	SH3PXD2B
A1XBS5	A1XBS5	CIBAR family	CIBAR1
A1Z1Q3	A1Z1Q3	MacroD-type family, MacroD1/2-like subfamily	MACROD2
A2A288	A2A288	ZC3H12 family	ZC3H12D
A2A2Y4	A2A2Y4	Not available	FRMD3
A2ABF9	A2ABF9	Not available	EHMT2
A2BDD9	A2BDD9	Angiomotin family	AMOT
A2BDE7	A2BDE7	Not available	PHLDA1
A2I2P0	A2I2P0	DNA photolyase class-1 family	CRY1
A2IDD5	A2IDD5	CCDC78 family	CCDC78
A2PYH4	A2PYH4	Helicase family, SKI2 subfamily	HFM1
A2RRN7	A2RRN7	Not available	CADPS
A2RRP1	A2RRP1	Not available	NBAS
A2RTX5	A2RTX5	Class-II aminoacyl-tRNA synthetase family	TARS3
A2RU14	A2RU14	TMEM218 family	TMEM218
A2RU30	A2RU30	Not available	TESPA1
A2RU49	A2RU49	Aminoglycoside phosphotransferase family	HYKK
A2RUB1	A2RUB1	Not available	MEIOC
A2RUB6	A2RUB6	Not available	CCDC66
A2RUC4	A2RUC4	TYW5 family	TYW5
A2RUH7	A2RUH7	Immunoglobulin superfamily, MyBP family	MYBPHL
A2VDJ0	A2VDJ0	TMEM131 family	TMEM131L
A2VEC9	A2VEC9	Thrombospondin family	SSPOP
A3KMH1	A3KMH1	Not available	VWA8
A3KN83	A3KN83	SBNO family	SBNO1
A3QNQ0	A3QNQ0	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	TGFBR2
A4D0S4	A4D0S4	Not available	LAMB4
A4D126	A4D126	IspD/TarI cytidylyltransferase family, IspD subfamily	CRPPA
A4D161	A4D161	FAM221 family	FAM221A
A4D1B1	A4D1B1	CD36 family	CD36
A4D1B5	A4D1B5	GSAP family	GSAP
A4D1E9	A4D1E9	TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family	GTPBP10
A4D1P6	A4D1P6	WD repeat WDR91 family	WDR91
A4D1S5	A4D1S5	Small GTPase superfamily, Rab family	RAB19
A4D1T9	A4D1T9	Peptidase S1 family	PRSS37
A4D1W7	A4D1W7	TGF-beta family	INHBA
A4D256	A4D256	Protein-tyrosine phosphatase family, Non-receptor class CDC14 subfamily	CDC14C
A4D2B0	A4D2B0	Metallo-beta-lactamase superfamily, Glyoxalase II family	MBLAC1
A4D2B8	A4D2B8	DNA mismatch repair MutL/HexB family	PMS2P1
A4D2P1	A4D2P1	Small GTPase superfamily, Rho family	RAC1
A4D2P6	A4D2P6	Not available	GRID2IP
A4F3V8	A4F3V8	Cytochrome P450 family	CYP1A1
A4F4K3	A4F4K3	Cytochrome P450 family	CYP1A1
A4F4K4	A4F4K4	Cytochrome P450 family	CYP1A1
A4FUJ8	A4FUJ8	Not available	MKL1
A4GXA9	A4GXA9	EME1/MMS4 family	EME2
A4QPA9	A4QPA9	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily	MAP2K1
A4UGR9	A4UGR9	Xin family	XIRP2
A5A3E0	A5A3E0	POTE family; Actin family	POTEF
A5D8T8	A5D8T8	Not available	CLEC18A
A5D8V6	A5D8V6	VPS37 family	VPS37C
A5D8V7	A5D8V7	Not available	ODAD3
A5D8W1	A5D8W1	Not available	CFAP69
A5LHX3	A5LHX3	Peptidase T1B family	PSMB11
A5PKU2	A5PKU2	CD225/Dispanin family	TUSC5
A5PKW4	A5PKW4	PSD family	PSD
A5PLL7	A5PLL7	Fatty acid desaturase CarF family	PEDS1
A5PLN9	A5PLN9	TRAPPC13 family	TRAPPC13
A5X5Y0	A5X5Y0	Ligand-gated ion channel (TC 1.A.9) family, 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily, HTR3E sub-subfamily	HTR3E
A5YKK6	A5YKK6	CNOT1 family	CNOT1
A5YM72	A5YM72	Not available	CARNS1
A6BM72	A6BM72	MEGF family	MEGF11
A6H8L5	A6H8L5	AB hydrolase superfamily, Lipase family	LIPC
A6H8Y1	A6H8Y1	Not available	BDP1
A6H8Z2	A6H8Z2	FAM221 family	FAM221B
A6NC98	A6NC98	CCDC88 family	CCDC88B
A6NCS4	A6NCS4	NK-2 homeobox family	NKX2-6
A6ND01	A6ND01	Folate receptor family	IZUMO1R
A6ND36	A6ND36	FAM83 family	FAM83G
A6NDB9	A6NDB9	Paralemmin family	PALM3
A6NDG6	A6NDG6	HAD-like hydrolase superfamily, CbbY/CbbZ/Gph/YieH family	PGP
A6NDV4	A6NDV4	TMEM8 family	TMEM8B
A6NED2	A6NED2	Not available	RCCD1
A6NEM1	A6NEM1	GOLGA6 family	GOLGA6L9
A6NER3	A6NER3	GAGE family	GAGE12J
A6NFA1	A6NFA1	TIKI family	TRABD2B
A6NFQ2	A6NFQ2	TCAF family	TCAF2
A6NFX1	A6NFX1	Major facilitator superfamily	MFSD2B
A6NFY7	A6NFY7	Complex I LYR family, SDHAF1 subfamily	SDHAF1
A6NGG8	A6NGG8	Not available	PCARE
A6NGQ2	A6NGQ2	KHDC1 family	OOEP
A6NGU5	A6NGU5	Gamma-glutamyltransferase family	GGT3P
A6NHL2	A6NHL2	Tubulin family	TUBAL3
A6NHQ2	A6NHQ2	Methyltransferase superfamily, Fibrillarin family	FBLL1
A6NHR9	A6NHR9	SMC family	SMCHD1
A6NHX0	A6NHX0	GATS family	CASTOR2
A6NI15	A6NI15	Not available	MSGN1
A6NI61	A6NI61	TMEM8 family	MYMK
A6NI73	A6NI73	Not available	LILRA5
A6NIH7	A6NIH7	PDE6D/unc-119 family	UNC119B
A6NIM6	A6NIM6	Major facilitator superfamily, Proton-dependent oligopeptide transporter (POT/PTR) (TC 2.A.17) family	SLC15A5
A6NIX2	A6NIX2	Zyxin/ajuba family	WTIP
A6NJ78	A6NJ78	Methyltransferase superfamily, RsmH family	METTL15
A6NJ78-4	A6NJ78	Methyltransferase superfamily, RsmH family	METTL15
A6NK06	A6NK06	PrpD family	ACOD1
A6NK58	A6NK58	LipB family	LIPT2
A6NK89	A6NK89	Not available	RASSF10
A6NKB5	A6NKB5	Pecanex family	PCNX2
A6NKF2	A6NKF2	Not available	ARID3C
A6NMB9	A6NMB9	AAA ATPase family	FIGNL2
A6NMY6	A6NMY6	Annexin family	ANXA2P2
A6NMZ7	A6NMZ7	Type VI collagen family	COL6A6
A6NNB3	A6NNB3	CD225/Dispanin family	IFITM5
A6NNM8	A6NNM8	Tubulin--tyrosine ligase family	TTLL13
A6NNN8	A6NNN8	Amino acid/polyamine transporter 2 family	SLC38A8
A6NNY8	A6NNY8	Peptidase C19 family	USP27X
A6NNZ2	A6NNZ2	Tubulin family	TUBB8B
A6PVC2	A6PVC2	Not available	TTLL8
A6PVI3	A6PVI3	RRM NCBP2 family	NCBP2L
A6QL63	A6QL63	Not available	ABTB3
A7E2E0	A7E2E0	PI3/PI4-kinase family, Type III PI4K subfamily	PIK3CD
A7E2V4	A7E2V4	ZSWIM8 family	ZSWIM8
A7E2Y1	A7E2Y1	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family	MYH7B
A7KAX9	A7KAX9	PX domain-containing GAP family	ARHGAP32
A7MCY6	A7MCY6	Not available	TBKBP1
A7MD48	A7MD48	NSR100 family	SRRM4
A7VJH3	A7VJH3	Sirtuin family, Class I subfamily	SIR2
A8CG34	A8CG34	POM121 family	POM121C
A8K0B6	A8K0B6	Acid ceramidase family	Not available
A8K0Z3	A8K0Z3	WASH1 family	WASHC1
A8K1Z7	A8K1Z7	AB hydrolase superfamily, Lipase family	Not available
A8K211	A8K211	Glycosyl hydrolase 33 family	Not available
A8K2R3	A8K2R3	Flavin monoamine oxidase family	Not available
A8K2S1	A8K2S1	Not available	Not available
A8K2U0	A8K2U0	Protease inhibitor I39 (alpha-2-macroglobulin) family	A2ML1
A8K3M3	A8K3M3	Protein-tyrosine phosphatase family, Non-receptor class 1 subfamily	PTPN1
A8K460	A8K460	Not available	Not available
A8K4G0	A8K4G0	CD300 family	CD300LB
A8K571	A8K571	TGF-beta family	BMP7
A8K5I0	A8K5I0	Heat shock protein 70 family	HSPA1A
A8K6K2	A8K6K2	5'(3')-deoxyribonucleotidase family	Not available
