DB Class Key,Common Organism Name,NCBI Taxon ID,Symbol,EntrezGene ID,Mouse MGI ID,HGNC ID,OMIM Gene ID,Genetic Location,"Genomic Coordinates (mouse: , human: )",Nucleotide RefSeq IDs,Protein RefSeq IDs,SWISS_PROT IDs
41933343,human,9606,OR5K4,403278,,HGNC:31291,,Chr3 q11.2,Chr3:98353854-98354819(+),"NM_001005517,NM_001005517,NM_001005517","NP_001005517,NP_001005517,NP_001005517","A6NMS3,A6NMS3,A6NMS3"
41933344,"mouse, laboratory",10090,Or5k1b,259003,MGI:3030006,,,Chr16 34.83 cM,Chr16:58580515-58581603(-),NM_147001,NP_667212,
41933344,human,9606,OR5K1,26339,,HGNC:8349,,Chr3 q11.2,Chr3:98469480-98470576(+),"NM_001004736,NM_001004736","NP_001004736,NP_001004736","Q8NHB7,Q8NHB7"
41933344,human,9606,OR5K2,402135,,HGNC:14774,,Chr3 q11.2,Chr3:98497681-98498631(+),"NM_001004737,NM_001004737,NM_001004737","NP_001004737,NP_001004737,NP_001004737","Q8NHB8,Q8NHB8,Q8NHB8"
41933345,"mouse, laboratory",10090,Or12d17,258832,MGI:2177492,,,Chr17 19.16 cM,Chr17:37777099-37778043(+),NM_146835,NP_667046,
41933345,human,9606,OR12D3,81797,,HGNC:13963,,Chr6 p22.1,Chr6:29373423-29375291(-),NM_030959,NP_112221,Q9UGF7
41933346,"mouse, laboratory",10090,Or12d16-ps1,257925,MGI:2177489,,,Chr17 19.16 cM,Chr17:37705481-37706415(+),,,
41933346,human,9606,OR12D1,26530,,HGNC:8177,,Chr6 p22.1,Chr6:29417165-29418296(+),"NM_001348208,NM_001348208,NM_001348208,NM_001348208,NM_001348208,NM_001348208","NP_001335137,NP_001335137,NP_001335137,NP_001335137,NP_001335137,NP_001335137","P0DN82,P0DN82,P0DN82,P0DN82,P0DN82,P0DN82"
41933346,human,9606,OR12D2,26529,,HGNC:8178,,Chr6 p22.1,Chr6:29396639-29397671(+),"NM_013936,NM_013936,NM_013936,NM_013936,NM_013936,NM_013936","NP_039224,NP_039224,NP_039224,NP_039224,NP_039224,NP_039224","P58182,P58182,P58182,P58182,P58182,P58182"
41933347,"mouse, laboratory",10090,Or4a72,258784,MGI:3031079,,,Chr2 50.09 cM,Chr2:89405056-89406117(-),NM_146788,NP_666999,
41933347,human,9606,OR4A16,81327,,HGNC:15153,,Chr11 q11,Chr11:55343201-55344187(+),"NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274","NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274","Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70"
41933348,"mouse, laboratory",10090,Or10k2,258267,MGI:3030204,,,Chr8 40.22 cM,Chr8:84267722-84268817(+),NM_146270,NP_666382,
41933348,human,9606,OR10K2,391107,,HGNC:14826,,Chr1 q23.1,Chr1:158419928-158420866(-),NM_001004476,NP_001004476,Q6IF99
41933349,"mouse, laboratory",10090,Or12d15,257893,MGI:2177488,,,Chr17 19.16 cM,Chr17:37693421-37694377(+),,,
41933349,human,9606,OR12D1,26530,,HGNC:8177,,Chr6 p22.1,Chr6:29417165-29418296(+),"NM_001348208,NM_001348208,NM_001348208,NM_001348208,NM_001348208,NM_001348208","NP_001335137,NP_001335137,NP_001335137,NP_001335137,NP_001335137,NP_001335137","P0DN82,P0DN82,P0DN82,P0DN82,P0DN82,P0DN82"
41933349,human,9606,OR12D2,26529,,HGNC:8178,,Chr6 p22.1,Chr6:29396639-29397671(+),"NM_013936,NM_013936,NM_013936,NM_013936,NM_013936,NM_013936","NP_039224,NP_039224,NP_039224,NP_039224,NP_039224,NP_039224","P58182,P58182,P58182,P58182,P58182,P58182"
41933350,"mouse, laboratory",10090,Or4a68,258804,MGI:3031074,,,Chr2 50.04 cM,Chr2:89269614-89270687(-),NM_146808,NP_667019,
41933350,human,9606,OR4A16,81327,,HGNC:15153,,Chr11 q11,Chr11:55343201-55344187(+),"NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274,NM_001005274","NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274,NP_001005274","Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70,Q8NH70"
41933351,"mouse, laboratory",10090,Or12d14-ps1,257948,MGI:2177487,,,Chr17 19.16 cM,Chr17:37673011-37673990(+),,,
41933351,human,9606,OR12D1,26530,,HGNC:8177,,Chr6 p22.1,Chr6:29417165-29418296(+),"NM_001348208,NM_001348208,NM_001348208,NM_001348208,NM_001348208,NM_001348208","NP_001335137,NP_001335137,NP_001335137,NP_001335137,NP_001335137,NP_001335137","P0DN82,P0DN82,P0DN82,P0DN82,P0DN82,P0DN82"
41933351,human,9606,OR12D2,26529,,HGNC:8178,,Chr6 p22.1,Chr6:29396639-29397671(+),"NM_013936,NM_013936,NM_013936,NM_013936,NM_013936,NM_013936","NP_039224,NP_039224,NP_039224,NP_039224,NP_039224,NP_039224","P58182,P58182,P58182,P58182,P58182,P58182"
41933352,"mouse, laboratory",10090,Mapk8,26419,MGI:1346861,,,Chr14 20.22 cM,Chr14:33099855-33169115(-),"NM_001310453,NM_001310454,NM_001310452,NM_016700,XM_006519032,XM_030247820,XM_036158602,XM_030247821","NP_057909,XP_006519095,XP_036014495,NP_001297383,XP_030103680,XP_030103681,NP_001297382,NP_001297381",Q91Y86
41933352,human,9606,MAPK8,5599,,HGNC:6881,OMIM:601158,Chr10 q11.22,Chr10:48306639-48439360(+),"NM_001323322,NM_139049,NM_139046,NM_002750,NM_001323331,NM_001323330,NM_001323329,NM_001323328,NM_001323327,NM_001323326,NM_001323325,NM_001323324,NM_001323323,NM_001323321,NM_001323320,NM_001323302,NM_001278548,NM_001278547","XP_047281436,NP_001310252,NP_001310251,NP_001310250,NP_001310249,NP_001310256,NP_001310231,NP_001265477,NP_001265476,NP_001310255,NP_001310258,NP_001310254,XP_047281437,XP_047281438,XP_047281440,NP_001310253,XP_024303847,XP_024303848,NP_001310257,NP_001310259,NP_001310260,NP_620634,NP_620637",P45983
41933353,"mouse, laboratory",10090,Arnt2,11864,MGI:107188,,,Chr7 48.35 cM,Chr7:83895486-84059384(-),"XM_006507239,XM_030242017,NM_007488,XM_036152603,XM_036152601,XM_006507243,XM_006507242,XM_006507244,XM_036152600,XM_011241655,XM_006507238,XM_036152602","XP_006507305,XP_006507302,XP_006507307,XP_030097877,XP_006507301,XP_036008495,XP_011239957,XP_036008496,XP_006507306,NP_031514,XP_036008493,XP_036008494",Q61324
41933353,human,9606,ARNT2,9915,,HGNC:16876,OMIM:606036,Chr15 q25.1,Chr15:80404350-80597937(+),NM_014862,NP_055677,Q9HBZ2
41933354,"mouse, laboratory",10090,Hoxc13,15422,MGI:99560,,,Chr15 syntenic,Chr15:102829566-102837249(+),NM_010464,NP_034594,P50207
41933354,human,9606,HOXC13,3229,,HGNC:5125,OMIM:142976,Chr12 q13.13,Chr12:53938792-53946544(+),NM_017410,NP_059106,P31276
41933355,"mouse, laboratory",10090,Raf1,110157,MGI:97847,,,Chr6 53.62 cM,Chr6:115595530-115653596(-),"XM_030255099,NM_001356333,NM_029780,NM_001356334,XM_030255098,XM_006505364","XP_030110959,XP_006505427,NP_084056,XP_030110958,NP_001343262,NP_001343263",Q99N57
41933355,human,9606,RAF1,5894,,HGNC:9829,OMIM:164760,Chr3 p25.2,Chr3:12583601-12664201(-),"NM_001354689,NM_001354694,NM_001354695,NM_002880,NM_001354693,NM_001354692,NM_001354690,NM_001354691","XP_047304607,NP_001341620,XP_016862455,NP_001341618,XP_011532276,NP_002871,NP_001341624,NP_001341623,NP_001341622,XP_047304606,NP_001341621,NP_001341619,XP_047304605",P04049
41933356,"mouse, laboratory",10090,Zic1,22771,MGI:106683,,,Chr9 48.26 cM,Chr9:91240111-91247863(-),"XM_036154847,NM_001376941,NM_009573","NP_033599,XP_036010740,NP_001363870",P46684
41933356,human,9606,ZIC1,7545,,HGNC:12872,OMIM:600470,Chr3 q24,Chr3:147409394-147416719(+),NM_003412,NP_003403,Q15915
41933357,"mouse, laboratory",10090,Ntrk1,18211,MGI:97383,,,Chr3 38.62 cM,Chr3:87685551-87702469(-),"XM_036162922,XM_006501124,XM_283871","NP_001028296,XP_036018815,XP_006501187",Q3UFB7
41933357,human,9606,NTRK1,4914,,HGNC:8031,OMIM:191315,Chr1 q23.1,Chr1:156815750-156881850(+),"NM_001007792,NM_001012331,NM_002529","NP_001007793,NP_002520,NP_001012331",P04629
41933358,"mouse, laboratory",10090,Tap2,21355,MGI:98484,,,Chr17 17.98 cM,Chr17:34423453-34435295(+),NM_011530,NP_035660,P36371
41933358,human,9606,TAP2,6891,,HGNC:44,OMIM:170261,Chr6 p21.32,Chr6:32821833-32838823(-),"NM_018833,NM_000544,NM_001290043","NP_000535,NP_061313,NP_001276972",Q03519
41933359,"mouse, laboratory",10090,Bco1,63857,MGI:1926923,,,Chr8 63.61 cM,Chr8:117822593-117860459(+),"NM_021486,XM_011248481,NM_001163028","NP_067461,XP_011246783,NP_001156500",Q9JJS6
41933359,human,9606,BCO1,53630,,HGNC:13815,OMIM:605748,Chr16 q23.2,Chr16:81238642-81291142(+),NM_017429,"XP_016878775,XP_047290170,XP_016878776,NP_059125,XP_011521411,XP_016878777,XP_016878778",Q9HAY6
41933360,"mouse, laboratory",10090,Nodal,18119,MGI:97359,,,Chr10 32.21 cM,Chr10:61253751-61261117(+),NM_013611,NP_038639,P43021
41933360,human,9606,NODAL,4838,,HGNC:7865,OMIM:601265,Chr10 q22.1,Chr10:70431936-70441709(-),"NM_018055,NM_001329906","NP_060525,XP_024303796,NP_001316835",Q96S42
41933361,"mouse, laboratory",10090,Foxg1,15228,MGI:1347464,,,Chr12 21.78 cM,Chr12:49429666-49433650(+),"NM_008241,NM_001160112","NP_032267,NP_001153584",Q60987
41933361,human,9606,FOXG1,2290,,HGNC:3811,OMIM:164874,Chr14 q12,Chr14:28767072-28770277(+),NM_005249,NP_005240,P55316
41933362,"mouse, laboratory",10090,Zfp703,353310,MGI:2662729,,,Chr8 15.91 cM,Chr8:27467364-27471490(+),"NM_001110508,NM_001101502","NP_001094972,NP_001103978",P0CL69
41933362,human,9606,ZNF703,80139,,HGNC:25883,OMIM:617045,Chr8 p11.23,Chr8:37695751-37700021(+),NM_025069,NP_079345,Q9H7S9
41933363,"mouse, laboratory",10090,Notch2,18129,MGI:97364,,,Chr3 42.42 cM,Chr3:97920854-98057683(+),NM_010928,NP_035058,O35516
41933363,human,9606,NOTCH2,4853,,HGNC:7882,OMIM:600275,Chr1 p12,Chr1:119911553-120073449(-),"NM_001200001,NM_024408","NP_001186930,NP_077719",Q04721
41933364,"mouse, laboratory",10090,Zp1,22786,MGI:103073,,,Chr19 7.36 cM,Chr19:10891660-10897965(-),NM_009580,NP_033606,Q62005
41933364,human,9606,ZP1,22917,,HGNC:13187,OMIM:195000,Chr11 q12.2,Chr11:60867542-60875693(+),"NM_001391943,NM_207341,NM_001391944","XP_047282565,XP_011543155,XP_011543154,NP_997224,NP_001378873,NP_001378872,XP_047282564",P60852
41933365,"mouse, laboratory",10090,Cldn9,56863,MGI:1913100,,,Chr17 11.99 cM,Chr17:23901558-23903000(-),NM_020293,NP_064689,Q9Z0S7
41933365,human,9606,CLDN9,9080,,HGNC:2051,OMIM:615799,Chr16 p13.3,Chr16:3012456-3014505(+),NM_020982,NP_066192,O95484
41933366,"mouse, laboratory",10090,Cldn6,54419,MGI:1859284,,,Chr17 11.99 cM,Chr17:23898321-23901420(+),"NM_018777,XM_006524641","NP_061247,XP_006524704",Q9Z262
41933366,human,9606,CLDN6,9074,,HGNC:2048,OMIM:615798,Chr16 p13.3,Chr16:3014712-3018187(-),NM_021195,NP_067018,P56747
41933367,"mouse, laboratory",10090,Cldn3,12739,MGI:1329044,,,Chr5 74.93 cM,Chr5:135015068-135016326(+),NM_009902,NP_034032,Q9Z0G9
41933367,human,9606,CLDN3,1365,,HGNC:2045,OMIM:602910,Chr7 q11.23,Chr7:73768997-73770270(-),NM_001306,NP_001297,O15551
41933368,"mouse, laboratory",10090,Cyp19a1,13075,MGI:88587,,,Chr9 29.49 cM,Chr9:54073221-54175394(-),"NM_001348172,NM_001348173,NM_007810,NM_001348171","NP_031836,NP_001335102,NP_001335101,NP_001335100",P28649
41933368,human,9606,CYP19A1,1588,,HGNC:2594,OMIM:107910,Chr15 q21.2,Chr15:51208057-51338598(-),"NM_001347256,NM_031226,NM_001347254,NM_001347255,NM_001347249,NM_001347248,NM_000103,NM_001347253,NM_001347251,NM_001347252,NM_001347250","NP_001334178,NP_001334181,NP_001334184,NP_001334185,NP_001334180,NP_001334179,NP_001334183,NP_112503,NP_001334177,NP_000094,NP_001334182",P11511
41933369,"mouse, laboratory",10090,Fn1,14268,MGI:95566,,,Chr1 36.05 cM,Chr1:71624679-71692359(-),"NM_001276408,XM_129845,NM_001276413,NM_001276412,NM_001276411,XM_030248098,XM_017315837,NM_001276410,XM_006495700,XM_006495697,XM_006495699,NM_001276409","XP_006495762,NP_001263339,NP_001263341,XP_030103958,NP_034363,NP_001263342,NP_001263340,NP_001263337,NP_001263338,XP_017171326,XP_006495760,XP_006495763",P11276
41933369,human,9606,FN1,2335,,HGNC:3778,OMIM:135600,Chr2 q35,Chr2:215360440-215436167(-),"NM_212478,NM_001306129,NM_212482,NM_001306130,NM_001306131,NM_001306132,NM_001365517,NM_001365518,NM_001365519,NM_001365520,NM_001365521,NM_001365522,NM_001365523,NM_001365524,NM_002026,NM_054034,NM_212476,NM_212474,NM_212475","NP_473375,NP_001293058,NP_001293059,NP_001293060,NP_001293061,NP_001352446,NP_001352447,NP_001352448,NP_001352449,NP_001352450,NP_001352451,NP_001352452,NP_001352453,NP_002017,NP_997639,NP_997641,NP_997643,NP_997647",P02751
41933370,"mouse, laboratory",10090,Nkx2-3,18089,MGI:97348,,,Chr19 36.67 cM,Chr19:43600764-43604331(+),XM_129268,NP_032725,P97334
41933370,human,9606,NKX2-3,159296,,HGNC:7836,OMIM:606727,Chr10 q24.2,Chr10:99532933-99536524(+),NM_145285,"NP_660328,XP_011537672",Q8TAU0
41933371,"mouse, laboratory",10090,Pou5f2,75507,MGI:1922757,,,Chr13 41.38 cM,Chr13:78173021-78174414(+),NM_029315,NP_083591,Q9DAC9
41933371,human,9606,POU5F2,134187,,HGNC:26367,,Chr5 q15,Chr5:93740309-93741603(-),NM_153216,NP_694948,Q8N7G0
41933372,"mouse, laboratory",10090,Pou5f1,18999,MGI:101893,,,Chr17 18.69 cM,Chr17:35816929-35821674(+),"NM_013633,NM_001252452","NP_001239381,NP_038661",P20263
41933372,human,9606,POU5F1,5460,,HGNC:9221,OMIM:164177,Chr6 p21.33,Chr6:31164337-31170693(-),"NM_001173531,NM_001285986,NM_001285987,NM_002701,NM_203289","NP_001272916,NP_002692,NP_976034,NP_001272915,NP_001167002",Q01860
41933372,human,9606,POU5F1B,5462,,HGNC:9223,OMIM:615739,Chr8 q24.21,Chr8:127415612-127417210(+),"NM_001159542,NM_001395745","NP_001153014,NP_001382674",Q06416
41933373,"mouse, laboratory",10090,Chrna1,11435,MGI:87885,,,Chr2 43.76 cM,Chr2:73393625-73410682(-),NM_007389,NP_031415,P04756
41933373,human,9606,CHRNA1,1134,,HGNC:1955,OMIM:100690,Chr2 q31.1,Chr2:174747592-174764472(-),"NM_000079,NM_001039523","XP_016858745,XP_016858746,NP_000070,NP_001034612",P02708
41933374,"mouse, laboratory",10090,Dmrt2,226049,MGI:1330307,,,Chr19 20.53 cM,Chr19:25649775-25656355(+),"NM_145831,XM_006526983,XM_036161560","XP_006527046,XP_036017453,NP_665830",Q8BG36
41933374,human,9606,DMRT2,10655,,HGNC:2935,OMIM:604935,Chr9 p24.3,Chr9:1003237-1057554(+),"NM_006557,NM_001130865,NM_001370531,NM_001370532,NM_001370533,NM_001387557,NM_001387558,NM_001387559,NM_001387560,NM_181872","NP_001124337,NP_001357460,NP_001357461,NP_001357462,NP_001374486,NP_001374487,NP_001374488,NP_001374489,NP_006548,NP_870987,XP_016869703",Q9Y5R5
41933375,"mouse, laboratory",10090,Hoxa11,15396,MGI:96172,,,Chr6 25.4 cM,Chr6:52219086-52222790(-),NM_010450,NP_034580,P31311
41933375,human,9606,HOXA11,3207,,HGNC:5101,OMIM:142958,Chr7 p15.2,Chr7:27181157-27185216(-),NM_005523,NP_005514,P31270
41933376,"mouse, laboratory",10090,Pax7,18509,MGI:97491,,,Chr4 70.83 cM,Chr4:139464373-139560839(-),"XM_006538629,XM_006538631,XM_006538630,NM_011039","NP_035169,XP_006538694,XP_006538692,XP_006538693",P47239
41933376,human,9606,PAX7,5081,,HGNC:8621,OMIM:167410,Chr1 p36.13,Chr1:18631006-18748866(+),"NM_001135254,NM_002584,NM_013945","NP_001128726,NP_002575,NP_039236",P23759
41933377,"mouse, laboratory",10090,Pou3f3,18993,MGI:102564,,,Chr1 21.21 cM,Chr1:42734928-42739370(+),NM_008900,NP_032926,P31361
41933377,human,9606,POU3F3,5455,,HGNC:9216,OMIM:602480,Chr2 q12.1,Chr2:104854068-104858574(+),NM_006236,NP_006227,P20264
41933378,"mouse, laboratory",10090,Ikzf1,22778,MGI:1342540,,,Chr11 7.02 cM,Chr11:11634980-11722926(+),"XM_011243707,XM_011243705,XM_011243715,XM_011243716,XM_011243717,XM_011243708,XM_011243718,XM_011243709,NM_001404493,NM_001404492,NM_001404491,NM_001404490,NM_001404500,NM_001404501,NM_001404557,NM_001404558,NM_001404533,NM_001404559,NM_001404511,NM_001404499,NM_001404498,NM_001404497,NM_001404496,NM_001404495,NM_001404494,NM_001404550,XM_011243706,XM_030245953,XM_006514680,NM_001404552,NM_001404551,NM_001025597,NM_001404554,NM_001404553,NM_001404556,NM_001404555,XM_006514676,XM_006514682,NM_001404503,NM_001404502,NM_001404505,NM_001404504,NM_001404507,NM_001404506,NM_001404509,NM_001404508,NM_001404568,NM_001404569,NM_001404563,NM_001404562,NM_001404561,NM_001404560,NM_001404567,NM_001404525,NM_001404526,NM_001404524,NM_001404527,NM_001404565,NM_001404564,NM_001404520,NM_001404521,NM_001404522,NM_001404523,NM_001404539,NM_001301868,NM_001301866,NM_001301865,NM_001404535,NM_001301863,NM_001404537,NM_001404532,XM_011243713,XM_011243714,XM_011243711,XM_011243712,XM_011243700,XM_011243701,XM_011243710,XM_011243702,XM_011243703,NM_001404513,NM_001404514,NM_001404515,NM_001404516,NM_001404517,NM_001404518,NM_001404519,NM_001404540,NM_001404542,NM_001404543,NM_009578,NM_001404544,NM_001404545,NM_001404547,NM_001404549,NM_001404510,NM_001404512,NM_001404531,NM_001404534,XM_011243704","NP_001391493,XP_006514745,NP_001391478,NP_001391479,NP_001391438,NP_001391439,NP_001391436,NP_001391437,NP_001391442,NP_001391441,NP_001391440,NP_001391446,NP_001391476,XP_006514739,NP_001391481,NP_001391445,NP_001391474,XP_006514743,XP_011242019,NP_001391473,NP_033604,NP_001391472,NP_001391471,NP_001391434,NP_001391435,NP_001391432,NP_001391433,NP_001391430,NP_001391431,NP_001391429,NP_001391428,NP_001391427,NP_001391426,NP_001391425,NP_001391469,NP_001391462,NP_001391461,NP_001391464,NP_001391463,XP_011242018,XP_011242009,NP_001391466,NP_001391468,NP_001288792,NP_001391420,NP_001288797,NP_001391421,NP_001391422,NP_001288795,XP_011242008,XP_011242007,XP_011242020,XP_011242014,NP_001391482,NP_001391444,NP_001391443,NP_001391423,NP_001391460,NP_001288794,NP_001391424,NP_001391419,NP_001391453,NP_001391452,NP_001391451,NP_001391450,NP_001391456,NP_001391455,NP_001391454,NP_001391490,NP_001391491,NP_001391492,NP_001391494,NP_001020768,NP_001391449,NP_001391496,NP_001391447,NP_001391497,NP_001391448,NP_001391498,NP_001391480,XP_011242005,NP_001391485,NP_001391486,NP_001391483,NP_001391484,NP_001391489,NP_001391487,NP_001391488,XP_011242013,XP_011242012,XP_011242002,XP_011242011,XP_030101813,XP_011242010,XP_011242004,XP_011242017,XP_011242003,XP_011242015,XP_011242006,XP_011242016",Q03267
41933378,human,9606,IKZF1,10320,,HGNC:13176,OMIM:603023,Chr7 p12.2,Chr7:50303453-50405101(+),"NM_001291846,NM_001220765,NM_001220766,NM_001220767,NM_001220768,NM_001220769,NM_001220770,NM_001220771,NM_001220772,NM_001220773,NM_001220774,NM_001220775,NM_001220776,NM_001291837,NM_001291838,NM_001291839,NM_001291840,NM_001291841,NM_001291842,NM_001291843,NM_001291844,NM_001291845,NM_001291847,NM_001410879,NM_006060","XP_011513362,XP_047275706,XP_047275705,XP_047275704,XP_047275703,XP_047275702,XP_047275701,XP_047275700,XP_047275699,XP_047275698,XP_047275697,XP_047275696,XP_047275695,XP_047275694,XP_047275692,XP_047275691,XP_047275690,XP_047275689,XP_047275688,XP_047275687,XP_047275686,XP_047275685,XP_047275684,XP_047275683,XP_047275682,XP_047275681,XP_047275680,XP_047275679,XP_016867157,XP_011513380,XP_011513379,XP_011513376,XP_011513375,XP_011513374,XP_011513373,XP_011513372,XP_011513369,XP_011513368,XP_011513367,XP_011513366,XP_011513365,XP_011513364,XP_011513363,XP_011513361,XP_011513360,NP_006051,NP_001397808,NP_001278776,NP_001278775,NP_001278774,NP_001278773,NP_001278772,NP_001278771,NP_001278770,NP_001278769,NP_001278768,NP_001278767,NP_001278766,NP_001207700,NP_001207699,NP_001207697,NP_001207696,NP_001207694",Q13422
41933379,"mouse, laboratory",10090,Foxa2,15376,MGI:1347476,,,Chr2 73.38 cM,Chr2:147884797-147888889(-),"NM_001291065,NM_001291067,NM_010446","NP_001277996,NP_034576,NP_001277994",P35583
41933379,human,9606,FOXA2,3170,,HGNC:5022,OMIM:600288,Chr20 p11.21,Chr20:22581004-22585463(-),"NM_021784,NM_153675","XP_047296090,NP_068556,XP_047296089,NP_710141",Q9Y261
41933380,"mouse, laboratory",10090,Pparg,19016,MGI:97747,,,Chr6 53.41 cM,Chr6:115337912-115467360(+),"NM_001127330,NM_001410262,NM_011146,NM_001308354,XM_011241252,XM_006505738,XM_017321456,XM_006505739,XM_017321455,XM_036165927,XM_006505743,XM_006505737,XM_030255223,NM_001308352","NP_035276,NP_001295283,XP_030111083,XP_017176945,XP_006505801,XP_036021820,NP_001397191,XP_006505800,XP_011239554,NP_001120802,XP_006505802,XP_017176944,XP_006505806,NP_001295281",P37238
41933380,human,9606,PPARG,5468,,HGNC:9236,OMIM:601487,Chr3 p25.2,Chr3:12287850-12471054(+),"NM_001354670,NM_001354669,NM_001354668,NM_001330615,NM_001354666,NM_001354667,NM_001374261,NM_001374262,NM_001374263,NM_001374264,NM_001374265,NM_001374266,NM_005037,NM_015869,NM_138712,NM_138711","NP_001341598,NP_619726,NP_619725,NP_056953,NP_005028,NP_001361195,NP_001361194,NP_001361193,NP_001361192,NP_001361191,NP_001361190,NP_001341599,NP_001341597,NP_001341596,NP_001341595,NP_001317544",P37231
41933381,"mouse, laboratory",10090,Or7c70,258305,MGI:3031190,,,Chr10 39.72 cM,Chr10:78682785-78683747(-),NM_146308,NP_666420,
41933381,human,9606,OR7C1,26664,,HGNC:8373,,Chr19 p13.12,Chr19:14797550-14835376(-),"NM_001370485,NM_198944,NM_001370485,NM_198944","NP_001357414,NP_945182,NP_001357414,NP_945182","O76099,O76099"
