Gene ID,Entrez ID,chromosome,start,end,width,strand,transcript_id,bioType,Aliases,p_id,Description
ABAT,18,chr16,8768444,8878432,5930,+,NM_020686,protein_coding,FLJ17813|FLJ30272|GABA-AT|GABAT|NPD009,P14995,4-aminobutyrate aminotransferase
ABCA1,19,chr9,107543284,107690527,10502,-,NM_005502,protein_coding,ABC-1|ABC1|CERP|FLJ14958|HDLDT1|MGC164864|MGC165011|TGD,P18452,ATP binding cassette subfamily A member 1
ABCA10,10349,chr17,67144148,67240956,6331,-,NM_080282,protein_coding,EST698739,P12881,ATP binding cassette subfamily A member 10
ABCA11P,79963,chr4,419224,467998,1895,-,NR_002451,misc_RNA,ABCA11|EST1133530|FLJ14297|FLJ57767|MGC120309|MGC120310|MGC120312|MGC132744|MGC138274,.,"ATP binding cassette subfamily A member 11, pseudogene"
ABCA12,26154,chr2,215796266,216003151,9180,-,NM_015657,protein_coding,DKFZp434G232|FLJ41584|ICR2B|LI2,P11022,ATP binding cassette subfamily A member 12
ABCA13,154664,chr7,48211057,48687091,17114,+,NM_152701,protein_coding,.,P20458,ATP binding cassette subfamily A member 13
ABCA17P,650655,chr16,2390923,2476700,4188,+,NR_003574,misc_RNA,ABCA17|FLJ37881,.,"ATP binding cassette subfamily A member 17, pseudogene"
ABCA2,20,chr9,139901686,139923374,8360,-,NM_212533,protein_coding,ABC2|MGC129761,P24941,ATP binding cassette subfamily A member 2
ABCA3,21,chr16,2325879,2390747,6623,-,NM_001089,protein_coding,ABC-C|ABC3|EST111653|LBM180|MGC166979|MGC72201|SMDP3,P34469,ATP binding cassette subfamily A member 3
ABCA4,24,chr1,94458394,94586705,7325,-,NM_000350,protein_coding,ABC10|ABCR|ARMD2|CORD3|DKFZp781N1972|FFM|FLJ17534|RMP|RP19|STGD|STGD1,P24515,ATP binding cassette subfamily A member 4
ABCA5,23461,chr17,67240576,67323323,8177,-,NM_018672,protein_coding,ABC13|DKFZp451F117|DKFZp779N2435|EST90625|FLJ16381,P5909,ATP binding cassette subfamily A member 5
ABCA6,23460,chr17,67074847,67138015,5296,-,NM_080284,protein_coding,EST155051|FLJ43498,P34581,ATP binding cassette subfamily A member 6
ABCA7,10347,chr19,1040102,1065570,6818,+,NM_019112,protein_coding,ABCA-SSN|ABCX|FLJ40025,P22731,ATP binding cassette subfamily A member 7
ABCA8,10351,chr17,66863428,66951533,5989,-,NM_001288985,protein_coding,KIAA0822|MGC163152,P2145,ATP binding cassette subfamily A member 8
ABCA9,10350,chr17,66970773,67057136,6301,-,NM_080283,protein_coding,DKFZp686F2450|EST640918|MGC75415,P2189,ATP binding cassette subfamily A member 9
ABCA9-AS1,104355297,chr17,67000855,67014464,523,+,NR_126414,lncRNA,.,.,ABCA9 antisense RNA 1
ABCB1,5243,chr7,87133179,87342639,4716,-,NM_000927,protein_coding,ABC20|CD243|CLCS|GP170|MDR1|MGC163296|P-GP|PGY1,P35710,"ATP-binding cassette, sub-family B (MDR/TAP), member 1"
ABCB10,23456,chr1,229652329,229694442,3857,-,NM_012089,protein_coding,EST20237|M-ABC2|MTABC2,P16927,ATP binding cassette subfamily B member 10
ABCB11,8647,chr2,169779449,169887833,4711,-,NM_003742,protein_coding,ABC16|BRIC2|BSEP|PFIC-2|PFIC2|PGY4|SPGP,P31799,ATP binding cassette subfamily B member 11
ABCB4,5244,chr7,87031361,87105019,3967,-,NM_018849,protein_coding,ABC21|GBD1|MDR2|MDR2/3|MDR3|PFIC-3|PGY3,P32530,"ATP-binding cassette, sub-family B (MDR/TAP), member 4"
ABCB5,340273,chr7,20655245,20796637,7842,+,NM_001163941,protein_coding,ABCB5alpha|ABCB5beta|EST422562,P19887,ATP binding cassette subfamily B member 5
ABCB6,10058,chr2,220074488,220083712,3018,-,NM_005689,protein_coding,ABC|ABC14|EST45597|FLJ22414|MTABC3|PRP|umat,P21607,ATP binding cassette subfamily B member 6 (Langereis blood group)
ABCB7,22,chrX,74273007,74376175,2525,-,NM_001271696,protein_coding,ABC7|ASAT|Atm1p|EST140535,P34559,ATP binding cassette subfamily B member 7
ABCB8,11194,chr7,150725509,150744869,4660,+,NM_001282292,protein_coding,EST328128|M-ABC1|MABC1,P3280,ATP binding cassette subfamily B member 8
ABCB9,23457,chr12,123405498,123451056,3909,-,NM_001243014,protein_coding,EST122234|KIAA1520|TAPL|hABCB9,P7219,ATP binding cassette subfamily B member 9
ABCC1,4363,chr16,16043434,16236930,6563,+,NM_004996,protein_coding,ABC29|ABCC|DKFZp686N04233|DKFZp781G125|GS-X|MRP|MRP1,P13896,ATP binding cassette subfamily C member 1
ABCC10,89845,chr6,43395292,43418163,6793,+,NM_001198934,protein_coding,EST182763|MRP7|SIMRP7,P12541,ATP binding cassette subfamily C member 10
ABCC11,85320,chr16,48200822,48269088,4576,-,NM_032583,protein_coding,EWWD|MRP8|WW,P33374,ATP binding cassette subfamily C member 11
ABCC12,94160,chr16,48116884,48180681,5168,-,NM_033226,protein_coding,MGC27071|MRP9,P16985,ATP binding cassette subfamily C member 12
ABCC13,150000,chr21,15646120,15673692,2924,+,NR_003088,misc_RNA,C21orf73|PRED6,.,ATP binding cassette subfamily C member 13 (pseudogene)
ABCC2,1244,chr10,101542355,101611949,5446,+,NM_000392,protein_coding,ABC30|CMOAT|DJS|KIAA1010|MRP2|cMRP,P25892,ATP binding cassette subfamily C member 2
ABCC3,8714,chr17,48712218,48769063,5166,+,NM_001144070,protein_coding,ABC31|DKFZp686E22157|EST90757|MLP2|MOAT-D|MRP3|cMOAT2,P6385,ATP binding cassette subfamily C member 3
ABCC4,10257,chr13,95672083,95953700,6265,-,NM_001301829,protein_coding,EST170205|MOAT-B|MOATB|MRP4,P17278,ATP binding cassette subfamily C member 4
ABCC5,10057,chr3,183637724,183735727,7060,-,NM_005688,protein_coding,ABC33|DKFZp686C1782|EST277145|MOAT-C|MOATC|MRP5|SMRP|pABC11,P33349,ATP binding cassette subfamily C member 5
ABCC5-AS1,100873982,chr3,183724126,183729207,469,+,NR_046570,lncRNA,.,.,ABCC5 antisense RNA 1
ABCC6,368,chr16,16243422,16317328,5762,-,NM_001171,protein_coding,ABC34|ARA|EST349056|MLP1|MOATE|MRP6|PXE|PXE1|URG7,P4794,ATP binding cassette subfamily C member 6
ABCC6P1,653190,chr16,18582570,18609607,2724,+,NR_003569,misc_RNA,.,.,ATP binding cassette subfamily C member 6 pseudogene 1
ABCC6P2,730013,chr16,14916289,14918559,706,-,NR_023387,misc_RNA,.,.,ATP binding cassette subfamily C member 6 pseudogene 2
ABCC8,6833,chr11,17414432,17498392,4921,-,NM_001287174,protein_coding,ABC36|HHF1|HI|HRINS|MRP8|PHHI|SUR|SUR1|TNDM2,P19463,ATP binding cassette subfamily C member 8
ABCC9,10060,chr12,21950324,22089628,8462,-,NM_020297,protein_coding,ABC37|CMD1O|FLJ36852|SUR2,P29560,ATP binding cassette subfamily C member 9
ABCD1,215,chrX,152990323,153010216,3664,+,NM_000033,protein_coding,ABC42|ALD|ALDP|AMN,P28427,ATP binding cassette subfamily D member 1
ABCD2,225,chr12,39945022,40013843,5341,-,NM_005164,protein_coding,ABC39|ALDL1|ALDR|ALDRP|hALDR,P8318,"ATP-binding cassette, sub-family D (ALD), member 2"
ABCD3,5825,chr1,94883933,94984219,3797,+,NM_002858,protein_coding,ABC43|PMP70|PXMP1|ZWS2,P25608,ATP binding cassette subfamily D member 3
ABCD4,5826,chr14,74751980,74769767,3157,-,NR_003256,protein_coding,ABC41|EST352188|P70R|P79R|PMP69|PXMP1L,.,ATP binding cassette subfamily D member 4
ABCE1,6059,chr4,146019156,146050676,4321,+,NM_002940,protein_coding,ABC38|OABP|RLI|RNASEL1|RNASELI|RNS4I,P5308,ATP binding cassette subfamily E member 1
ABCF1,23,chr6,30539170,30559309,3464,+,NM_001090_5,protein_coding,ABC27|ABC50,P7377,ATP binding cassette subfamily F member 1
ABCF2,10061,chr7,150904923,150924460,5101,-,NM_005692,protein_coding,ABC28|DKFZp586K1823|EST133090|HUSSY18|M-ABC1,P32546,ATP binding cassette subfamily F member 2
ABCF3,55324,chr3,183903863,183911795,2572,+,NM_018358,protein_coding,EST201864|FLJ11198,P5000,ATP binding cassette subfamily F member 3
ABCG1,9619,chr21,43619799,43717354,3607,+,NM_207627,protein_coding,ABC8|MGC34313|WHITE1,P915,ATP binding cassette subfamily G member 1
ABCG2,9429,chr4,89011416,89152474,4750,-,NM_001257386,protein_coding,ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|EST157481|MGC102821|MRX|MXR|MXR1,P28094,"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)"
ABCG4,64137,chr11,119019750,119033374,3935,+,NM_022169,protein_coding,WHITE2,P20562,ATP binding cassette subfamily G member 4
ABCG5,64240,chr2,44039611,44065958,2740,-,NM_022436,protein_coding,STSL,P28908,ATP binding cassette subfamily G member 5
ABCG8,64241,chr2,44066103,44105605,2665,+,NM_022437,protein_coding,GBD4|MGC142217|STSL,P6033,ATP binding cassette subfamily G member 8
ABHD1,84696,chr2,27346657,27353680,1446,+,NM_032604,protein_coding,FLJ36128|LABH1,P12748,abhydrolase domain containing 1
ABHD10,55347,chr3,111697723,111712215,2806,+,NR_073571,protein_coding,FLJ11342,.,abhydrolase domain containing 10
ABHD11,83451,chr7,73150425,73153184,2174,-,NM_001301058,protein_coding,WBSCR21,P7590,abhydrolase domain containing 11
ABHD11-AS1,171022,chr7,73149399,73150330,473,+,NR_026690,lncRNA,.,.,ABHD11 antisense RNA 1 (tail to tail)
ABHD12,26090,chr20,25275379,25371618,2411,-,NM_015600,protein_coding,ABHD12A|BEM46L2|C20orf22|DKFZp434P106|dJ965G21.2,P4902,abhydrolase domain containing 12
ABHD12B,145447,chr14,51338878,51371688,1708,+,NM_001206673,protein_coding,BEM46L3|C14orf29|MGC129926|MGC129927|c14_5314,P35588,abhydrolase domain containing 12B
ABHD13,84945,chr13,108870763,108886603,5302,+,NM_032859,protein_coding,BEM46L1|C13orf6|FLJ14906|MGC27058|RP11-153I24.2|bA153I24.2,P25834,abhydrolase domain containing 13
ABHD14A,25864,chr3,52009042,52015216,1108,+,NM_015407,protein_coding,DKFZp564O243|DORZ1|FLJ60317|FLJ60467,P34527,abhydrolase domain containing 14A
ABHD14A-ACY1,100526760,chr3,52009042,52009220,179,+,NR_037192,protein_coding,.,.,ABHD14A-ACY1 readthrough
ABHD14B,84836,chr3,52002526,52008646,2243,-,NM_032750,protein_coding,CIB|MGC15429,P35512,abhydrolase domain containing 14B
ABHD15,116236,chr17,27887689,27894042,3355,-,NM_198147,protein_coding,.,P21758,abhydrolase domain containing 15
ABHD16A,7920,chr6,31654726,31671137,2481,-,NM_001177515,protein_coding,.,P17874,abhydrolase domain containing 16A
ABHD16B,140701,chr20,62492566,62494341,1776,+,NM_080622,protein_coding,.,P6030,abhydrolase domain containing 16B
ABHD17A,81926,chr19,1876975,1885518,1716,-,NM_001130111,protein_coding,.,P9331,abhydrolase domain containing 17A
ABHD17B,51104,chr9,74477368,74526148,3468,-,NM_016014,protein_coding,.,P26485,abhydrolase domain containing 17B
ABHD17C,58489,chr15,80987652,81047962,2360,+,NM_021214,protein_coding,.,P16535,abhydrolase domain containing 17C
ABHD2,11057,chr15,89631381,89745591,9133,+,NM_007011,protein_coding,HS1-2|LABH2|MGC111112|MGC26249|PHPS1-2,P6412,abhydrolase domain containing 2
ABHD3,171586,chr18,19230858,19284766,2601,-,NM_001308257,protein_coding,LABH3|MGC11259,P33252,abhydrolase domain containing 3
ABHD4,63874,chr14,23067147,23081265,2509,+,NM_022060,protein_coding,ABH4|FLJ12816,P25083,abhydrolase domain containing 4
ABHD5,51099,chr3,43732375,43764217,5353,+,NM_016006,protein_coding,CDS|CGI58|IECN2|MGC8731|NCIE2,P30240,abhydrolase domain containing 5
ABHD6,57406,chr3,58223259,58280461,2393,+,NM_020676,protein_coding,.,P6158,abhydrolase domain containing 6
ABHD8,79575,chr19,17402940,17414282,2090,-,NM_024527,protein_coding,FLJ11743|MGC14280|MGC2512,P22501,abhydrolase domain containing 8
ABI1,10006,chr10,27035525,27150016,3773,-,NM_001178119,protein_coding,ABI-1|E3B1|NAP1BP|SSH3BP|SSH3BP1,P20982,abl interactor 1
ABI2,10152,chr2,204192962,204296896,7328,+,NM_001282925,protein_coding,ABI-2|ABI2B|AIP-1|AblBP3|SSH3BP2|argBPIA|argBPIB,P31813,abl-interactor 2
ABI3,51225,chr17,47287589,47300587,2091,+,NM_016428,protein_coding,NESH|SSH3BP3,P16469,ABI family member 3
ABI3BP,25890,chr3,100468179,100712334,4473,-,NM_015429,protein_coding,FLJ41743|FLJ41754|NESHBP|TARSH,P15877,ABI family member 3 binding protein
ABL1,25,chr9,133589268,133763062,6152,+,NM_007313,protein_coding,ABL|JTK7|bcr/abl|c-ABL|p150|v-abl,P8439,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ABL2,27,chr1,179068462,179198819,12340,-,NM_001168239,protein_coding,ABLL|ARG|FLJ22224|FLJ31718|FLJ41441,P9270,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
ABLIM1,3983,chr10,116190869,116444414,8303,-,NM_006720,protein_coding,ABLIM|DKFZp781D0148|FLJ14564|KIAA0059|LIMAB1|LIMATIN|MGC1224,P29880,actin binding LIM protein 1
ABLIM2,84448,chr4,7967037,8160559,5219,-,NM_032432,protein_coding,DKFZp761F129|FLJ26534|FLJ39684|KIAA1808|MGC141918,P24182,actin binding LIM protein family member 2
ABLIM3,22885,chr5,148521046,148640001,5317,+,NM_014945,protein_coding,.,P14452,actin binding LIM protein family member 3
ABO,28,chr9,136130563,136150630,1579,-,NM_020469,protein_coding,A3GALNT|A3GALT1|GTB|NAGAT,P25185,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase"
ABR,29,chr17,906758,1090616,6656,-,NM_001092,protein_coding,FLJ45954|MDB,P567,active BCR-related
ABRA,137735,chr8,107771711,107782472,2754,-,NM_139166,protein_coding,STARS,P20495,actin binding Rho activating protein
ABRACL,58527,chr6,139349819,139364439,845,+,NM_021243,protein_coding,.,P35743,ABRA C-terminal like
ABT1,29777,chr6,26597171,26600277,2263,+,NM_013375,protein_coding,hABT1,P146,activator of basal transcription 1
ABTB1,80325,chr3,127391781,127399769,2015,+,NM_032548,protein_coding,BPOZ|BTB3|EF1ABP|MGC20585,P9345,ankyrin repeat and BTB domain containing 1
ABTB2,25841,chr11,34172534,34379555,4903,-,NM_145804,protein_coding,DKFZp586C1619,P10834,ankyrin repeat and BTB domain containing 2
ACAA1,30,chr3,38164201,38178733,1819,-,NM_001607,protein_coding,ACAA|PTHIO|THIO,P25188,acetyl-CoA acyltransferase 1
ACAA2,10449,chr18,47309874,47340251,1934,-,NM_006111,protein_coding,DSAEC|FLJ35992|FLJ95265,P35894,acetyl-CoA acyltransferase 2
ACACA,31,chr17,35441927,35766902,11380,-,NM_198838,protein_coding,ACAC|ACC|ACC1|ACCA,P18070,acetyl-CoA carboxylase alpha
ACACB,32,chr12,109577202,109706030,9249,+,NM_001093,protein_coding,ACC2|ACCB|HACC275,P20814,acetyl-CoA carboxylase beta
ACAD10,80724,chr12,112123857,112194911,4107,+,NM_001136538,protein_coding,MGC5601,P26188,acyl-CoA dehydrogenase family member 10
ACAD11,84129,chr3,132276982,132378975,1630,-,NM_032169,protein_coding,FLJ12592|MGC150619,P33416,acyl-CoA dehydrogenase family member 11
ACAD8,27034,chr11,134123434,134135746,2201,+,NM_014384,protein_coding,ACAD-8|ARC42|FLJ22590,P11937,acyl-CoA dehydrogenase family member 8
ACAD9,28976,chr3,128598333,128631957,2495,+,NM_014049,protein_coding,FLJ23533|MGC14452|NPD002,P27711,acyl-CoA dehydrogenase family member 9
ACADL,33,chr2,211052716,211090215,2490,-,NM_001608,protein_coding,ACAD4|FLJ94052|LCAD,P5498,"acyl-CoA dehydrogenase, long chain"
ACADM,34,chr1,76190032,76229363,2821,+,NM_001127328,protein_coding,ACAD1|FLJ18227|FLJ93013|FLJ99884|MCAD|MCADH,P3086,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"
ACADS,35,chr12,121163541,121177811,2087,+,NM_001302554,protein_coding,ACAD3|SCAD,P6550,"acyl-CoA dehydrogenase, C-2 to C-3 short chain"
ACADSB,36,chr10,124768429,124817806,5941,+,NM_001609,protein_coding,2-MEBCAD|ACAD7|SBCAD,P19204,"acyl-CoA dehydrogenase, short/branched chain"
ACADVL,37,chr17,7120444,7128586,2444,+,NM_001270447,protein_coding,ACAD6|LCACD|VLCAD,P25512,"acyl-CoA dehydrogenase, very long chain"
ACAN,176,chr15,89346674,89418585,8840,+,NM_013227,protein_coding,AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK,P26378,aggrecan
ACAP1,9744,chr17,7239848,7254793,2508,+,NM_014716,protein_coding,CENTB1|KIAA0050,P13008,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
ACAP2,23527,chr3,194995465,195163817,7170,-,NM_012287,protein_coding,CENTB2|CNT-B2|KIAA0041,P28070,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
ACAP3,116983,chr1,1227764,1243269,3759,-,NM_030649,protein_coding,CENTB5|KIAA1716,P2574,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
ACAT1,38,chr11,107992258,108018891,2134,+,NM_000019,protein_coding,ACAT|MAT|T2|THIL,P2821,acetyl-CoA acetyltransferase 1
ACAT2,39,chr6,160182989,160200087,1852,+,NM_005891,protein_coding,.,P17549,acetyl-CoA acetyltransferase 2
ACBD3,64746,chr1,226332380,226374423,3565,-,NM_022735,protein_coding,GCP60|GOCAP1|GOLPH1|PAP7,P19862,acyl-CoA binding domain containing 3
ACBD4,79777,chr17,43209967,43221543,2851,+,NM_001135704,protein_coding,FLJ13322|FLJ90623,P25434,acyl-CoA binding domain containing 4
ACBD5,91452,chr10,27484143,27531068,4056,-,NM_001301254,protein_coding,DKFZp434A2417|KIAA1996,P7435,acyl-CoA binding domain containing 5
ACBD6,84320,chr1,180257352,180472022,1616,-,NM_032360,protein_coding,MGC2404,P31681,acyl-CoA binding domain containing 6
ACBD7,414149,chr10,15117474,15130775,3370,-,NM_001039844,protein_coding,FLJ38219|FLJ52263|MGC33893|bA455B2.2,P11364,acyl-CoA binding domain containing 7
ACCS,84680,chr11,44087729,44105569,2317,+,NM_001127219,protein_coding,ACS|PHACS,P31872,1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACCSL,390110,chr11,44069531,44081527,1820,+,NM_001031854,protein_coding,.,P34107,1-aminocyclopropane-1-carboxylate synthase (inactive)-like
ACD,65057,chr16,67691415,67694718,2018,-,NM_022914,protein_coding,PIP1|PTOP|TINT1|TPP1,P1563,adrenocortical dysplasia homolog
ACE,1636,chr17,61554422,61575741,5219,+,NM_000789,protein_coding,ACE1|CD143|DCP|DCP1|MGC26566|MVCD3,P247,angiotensin I converting enzyme
ACE2,59272,chrX,15579156,15620192,3507,-,NM_021804,protein_coding,ACEH|DKFZp434A014,P34377,angiotensin I converting enzyme 2
ACER1,125981,chr19,6306510,6333640,1088,-,NM_133492,protein_coding,ALKCDase1|ASAH3|MGC138327|MGC138329,P24378,alkaline ceramidase 1
ACER2,340485,chr9,19408925,19452500,2852,+,NM_001010887,protein_coding,ALKCDase2|ASAH3L|FLJ41587,P14743,alkaline ceramidase 2
ACER3,55331,chr11,76571917,76737841,7502,+,NM_018367,protein_coding,APHC|FLJ11238|PHCA,P15067,alkaline ceramidase 3
ACHE,43,chr7,100487615,100493754,2388,-,NM_001282449,protein_coding,ARACHE|N-ACHE|YT,P13334,acetylcholinesterase (Cartwright blood group)
ACIN1,22985,chr14,23527774,23564823,5104,-,NM_014977,protein_coding,ACINUS|ACN|DKFZp667N107|KIAA0670|fSAP152,P14570,apoptotic chromatin condensation inducer 1
ACKR1,2532,chr1,159173803,159176290,3250,+,NM_002036,protein_coding,.,P11548,atypical chemokine receptor 1 (Duffy blood group)
ACKR2,1238,chr3,42850964,42908775,2960,+,NM_001296,protein_coding,.,P5589,atypical chemokine receptor 2
ACKR3,57007,chr2,237478380,237490994,2100,+,NM_020311,protein_coding,.,P3930,atypical chemokine receptor 3
ACKR4,51554,chr3,132316081,132321485,4845,+,NM_016557,protein_coding,.,P23438,atypical chemokine receptor 4
ACLY,47,chr17,40023170,40075272,5341,-,NM_001303274,protein_coding,ACL|ATPCL|CLATP,P28799,ATP citrate lyase
ACMSD,130013,chr2,135596186,135659602,1357,+,NM_001307983,protein_coding,.,P3418,aminocarboxymuconate semialdehyde decarboxylase
ACO1,48,chr9,32384601,32450832,3620,+,NM_001278352,protein_coding,ACONS|IREB1|IREBP|IREBP1|IRP1,P23456,aconitase 1
ACO2,50,chr22,41865129,41924993,2741,+,NM_001098,protein_coding,ACONM|MGC20605|MGC33908,P34775,aconitase 2
ACOT1,641371,chr14,74003928,74010498,1603,+,NM_001037161,protein_coding,ACH2|CTE-1|LACH2,P26785,acyl-CoA thioesterase 1
ACOT11,26027,chr1,55013807,55100417,3391,+,NM_147161,protein_coding,BFIT|BFIT1|BFIT2|KIAA0707|STARD14|THEA|THEM1,P15430,acyl-CoA thioesterase 11
ACOT12,134526,chr5,80625947,80689988,1989,-,NM_130767,protein_coding,CACH-1|Cach|MGC105114|STARD15|THEAL,P28982,acyl-CoA thioesterase 12
ACOT13,55856,chr6,24667263,24705295,4393,+,NM_018473,protein_coding,MGC4961|PNAS-27|THEM2,P28121,acyl-CoA thioesterase 13
