Gene ID,Entrez ID,chromosome,start,end,width,strand,p_id,transcript_id,tss_id,bioType,Aliases,Description
Pcmtd1,319263,chr1,7088920,7173628,5232,+,P18329,NM_183028,TSS24769,protein_coding,8430411F12Rik| A030012M09Rik,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
Sntg1,71096,chr1,8359739,9299877,7259,-,P6945,NM_001290390,TSS11207,protein_coding,4933426D16Rik| G1SYN| SYN4,"syntrophin, gamma 1"
Rrs1,59014,chr1,9545408,9547455,2048,+,P15667,NM_021511,TSS9778,protein_coding,5730466A07Rik| AA415037| D1Ertd701e| Rrr,ribosome biogenesis regulator 1
Adhfe1,76187,chr1,9548046,9577968,3139,+,,NR_027664,TSS3567,protein_coding,6330565B14Rik| Adh8| AI043035,"alcohol dehydrogenase, iron containing, 1"
2610203C22Rik,72481,chr1,9560833,9631092,1245,-,,NR_015470,TSS24439,lncRNA,2310007M24Rik,RIKEN cDNA 2610203C22 gene
3110035E14Rik,76982,chr1,9601267,9627142,3187,+,P4914,NM_178399,TSS16026,protein_coding,AI415019| AV164974| R75066,RIKEN cDNA 3110035E14 gene
Mybl1,17864,chr1,9667411,9700209,4984,-,P12430,NM_008651,TSS20415,protein_coding,A-myb| G1-419-6| repro9,myeloblastosis oncogene-like 1
Vcpip1,70675,chr1,9718622,9748382,9749,-,P3023,NM_173443,TSS17494,protein_coding,4932442A08| 5730421J18Rik| 5730538E15Rik| mKIAA1850| VCIP135,valosin containing protein (p97) /p47 complex interacting protein 1
1700034P13Rik,73331,chr1,9747648,9771256,1494,+,,NR_040462,TSS25030,lncRNA,.,RIKEN cDNA 1700034P13 gene
Sgk3,170755,chr1,9798130,9902568,5620,+,P19798,NM_133220,TSS9779,protein_coding,2510015P22Rik| A330005P07Rik| Cisk| fy| fz,serum /glucocorticoid regulated kinase 3
Mcmdc2,240697,chr1,9908638,9940954,2553,+,P17023,NM_177722,TSS3712,protein_coding,6030422M02Rik,minichromosome maintenance domain containing 2
Snhg6,73824,chr1,9942025,9944118,407,-,,NR_024067,TSS12803,lncRNA,1110008H02Rik,small nucleolar RNA host gene 6
Snord87,266793,chr1,9942470,9942543,74,-,,NR_004410,TSS21506,snoRNA,MBII-276| Rnu87| U87,"small nucleolar RNA, C /D box 87"
Tcf24,100039596,chr1,9960163,9967485,3746,-,P13148,NM_001285425,TSS20312,protein_coding,100039596| ENSMUSG00000073738| Gm10567| Gm2330,transcription factor 24
Ppp1r42,69312,chr1,9968622,10009136,1427,-,P18655,NM_145692,TSS10834,protein_coding,1700011J18Rik| 4930418G15Rik| Lrrc67| TLRR,"protein phosphatase 1, regulatory subunit 42"
Cops5,26754,chr1,10024600,10038159,2470,-,,NR_102282,TSS16812,protein_coding,AI303502| CSN5| Jab1| Mov34| Sgn5,COP9 signalosome subunit 5
Cspp1,211660,chr1,10038218,10136768,4354,+,P17010,NM_026493,TSS24890,protein_coding,2310020J12Rik| 4930413O22Rik| AA387550| BC055915| Cspp2| Cspp3,centrosome and spindle pole associated protein 1
Arfgef1,211673,chr1,10137507,10232670,7042,-,P12121,NM_001102430,TSS25088,protein_coding,ARFGEP1| BIG1| D130059B05Rik| D730028O18Rik| P200,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
Cpa6,329093,chr1,10324719,10719945,1940,-,P15515,NM_001289497,TSS9051,protein_coding,9030616D13Rik,carboxypeptidase A6
Prex2,109294,chr1,10993465,11303682,11187,+,P4722,NM_029525,TSS2393,protein_coding,6230420N16Rik| AI316880| AI553603| C030045D06Rik| D430013K02| Depdc2| P-Rex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
A830018L16Rik,320492,chr1,11414105,11975902,7637,+,P1699,NM_001160369,TSS20700,protein_coding,.,RIKEN cDNA A830018L16 gene
Gm17644,329096,chr1,12667563,12673090,3200,+,,NR_045297,TSS23459,lncRNA,4932411L15,"predicted gene, 17644"
Sulf1,240725,chr1,12692430,12860372,4864,+,P26541,NM_001198566,TSS9396,protein_coding,AI467640| AW121680| mKIAA1077,sulfatase 1
Slco5a1,240726,chr1,12866550,12991135,8511,-,P3874,NM_172841,TSS12448,protein_coding,4732454B15| A630033C23Rik| AA407151,"solute carrier organic anion transporter family, member 5A1"
Prdm14,383491,chr1,13113428,13127163,2593,-,P25940,NM_001081209,TSS561,protein_coding,.,PR domain containing 14
Ncoa2,17978,chr1,13139105,13374083,8514,-,P16813,NM_001302702,TSS4537,protein_coding,bHLHe75| D1Ertd433e| GRIP-1| Grip1| KAT13C| NCoA-2| SRC-2| TIF2,nuclear receptor coactivator 2
Tram1,72265,chr1,13564693,13589910,2943,-,P3457,NM_028173,TSS8599,protein_coding,1810049E02Rik| TRAMP,translocating chain-associating membrane protein 1
Lactb2,212442,chr1,13625900,13660509,1887,-,P26788,NM_145381,TSS17632,protein_coding,Cgi-83| E430032H21Rik,"lactamase, beta 2"
Xkr9,381246,chr1,13668771,13701723,1926,+,P14456,NM_001011873,TSS22448,protein_coding,Gm1620| XRG9,X-linked Kx blood group related 9
Gm5523,433273,chr1,13785685,13786929,1245,-,,NR_004447,TSS22046,misc_RNA,EG433273,predicted pseudogene 5523
Eya1,14048,chr1,14168958,14310199,4327,-,P2118,NM_001252192,TSS13463,protein_coding,bor,EYA transcriptional coactivator and phosphatase 1
Msc,17681,chr1,14753346,14755966,1717,-,P2949,NM_010827,TSS18863,protein_coding,bHLHa22| MyoR,musculin
Trpa1,277328,chr1,14872648,14918862,4263,-,P3256,NM_177781,TSS13378,protein_coding,Anktm1| TRPA1b,"transient receptor potential cation channel, subfamily A, member 1"
Kcnb2,98741,chr1,15312452,15714214,5309,+,P6376,NM_001098528,TSS26068,protein_coding,9630047L19Rik| BB130875| Kv2.2,"potassium voltage gated channel, Shab-related subfamily, member 2"
Terf1,21749,chr1,15805646,15844052,2268,+,P3266,NM_009352,TSS6861,protein_coding,Pin2| Trbf1| Trf1,telomeric repeat binding factor 1
Sbspon,226866,chr1,15853862,15892722,2748,-,P7413,NM_001033288,TSS9785,protein_coding,Gm106| Rpesp,"somatomedin B and thrombospondin, type 1 domain containing"
4930444P10Rik,75799,chr1,16065979,16093325,1844,-,P5023,NM_001243238,TSS5472,protein_coding,.,RIKEN cDNA 4930444P10 gene
Rpl7,19989,chr1,16101296,16104433,933,-,P20503,NM_011291,TSS14678,protein_coding,Rpl7a| Surf-3,ribosomal protein L7
Rdh10,98711,chr1,16105882,16132550,2295,+,P9642,NM_133832,TSS118,protein_coding,3110069K09Rik| 4921506A21Rik| AI875664| AW549993| D1Ertd762e| m366Asp,retinol dehydrogenase 10 (all-trans)
Stau2,29819,chr1,16228810,16519302,2890,-,P4878,NM_001111272,TSS18185,protein_coding,.,staufen (RNA binding protein) homolog 2 (Drosophila)
Ube2w,66799,chr1,16540788,16619338,4145,-,P3981,NM_001271016,TSS4923,protein_coding,6130401J04Rik,ubiquitin-conjugating enzyme E2W (putative)
Tceb1,67923,chr1,16642765,16656865,955,-,P12574,NM_026456,TSS19730,protein_coding,2610043E24Rik| 2610301I15Rik| AA407206| AI987979| AW049146,"transcription elongation factor B (SIII), polypeptide 1"
D030040B21Rik,329101,chr1,16657552,16662278,2788,+,,NR_037998,TSS1137,lncRNA,D030040B21,RIKEN cDNA D030040B21 gene
Tmem70,70397,chr1,16665191,16678275,1838,+,P12011,NM_027415,TSS18375,protein_coding,1110020A09Rik| 2210416J16Rik,transmembrane protein 70
Ly96,17087,chr1,16688456,16709605,678,+,P23854,NM_001159711,TSS18488,protein_coding,ESOP-1| MD-2| MD2,lymphocyte antigen 96
Jph1,57339,chr1,16994940,17097889,4807,-,P8024,NM_020604,TSS1235,protein_coding,ENSMUSG00000054314| JP-1| Jp1,junctophilin 1
Gdap1,14545,chr1,17145373,17164270,3937,+,P21457,NM_010267,TSS17987,protein_coding,.,ganglioside-induced differentiation-associated-protein 1
Pi15,94227,chr1,17601901,17630939,6923,+,P26779,NM_053191,TSS7080,protein_coding,P24TI| P25TI| PI-15| SugarCrisp,peptidase inhibitor 15
Gm16070,102634913,chr1,17676027,17727646,2264,-,,NR_130314,TSS1754,lncRNA,OTTMUSG00000029756,predicted gene 16070
Crispld1,83691,chr1,17727417,17766207,4006,+,P1116,NM_031402,TSS13933,protein_coding,Cocoacrisp| Lcrisp1,cysteine-rich secretory protein LCCL domain containing 1
Crisp4,78081,chr1,18115191,18137051,1192,-,P21530,NM_030033,TSS13754,protein_coding,9230112K08Rik,cysteine-rich secretory protein 4
Defb44-ps,654454,chr1,18210053,18223564,222,-,,NR_002879,TSS7116,misc_RNA,Defb44| Defb49| Defb49-ps| EG574082,"defensin beta 44, pseudogene"
Defb18,654460,chr1,18236473,18237443,258,-,P10352,NM_001039123,TSS12926,protein_coding,BD-18| EG654460| mBD-18,defensin beta 18
Defb41,77673,chr1,18250978,18265138,469,-,P22650,NM_183124,TSS4361,protein_coding,9230102D03Rik| BD-17| Bd-41| Defb16| Defb17| Gm15386| OTTMUSG00000020946| OTTMUSG00000020948,defensin beta 41
Gm15386,.,chr1,18260524,18260666,143,-,P14244,NM_001040027,TSS4361,.,.,.
Tfap2d,226896,chr1,19103022,19166332,1747,+,P24869,NM_153154,TSS14188,protein_coding,Tcfap2d,"transcription factor AP-2, delta"
Tfap2b,21419,chr1,19208914,19238845,4201,+,P16725,NM_001286340,TSS14616,protein_coding,AI606113| AP-2(beta)| E130018K07Rik| Tcfap2b,transcription factor AP-2 beta
Pkhd1,241035,chr1,20057779,20618057,12928,-,P25486,NM_153179,TSS22646,protein_coding,AI118496| AI182499| FPC| Tigm1,polycystic kidney and hepatic disease 1
4930486I03Rik,75028,chr1,20356454,20392300,786,+,,NR_045734,TSS8040,lncRNA,.,RIKEN cDNA 4930486I03 gene
Linc-md1,105661730,chr1,20669882,20682958,521,+,,NR_131249,TSS13067,lncRNA,.,long intergenic non-coding RNA muscle differentiation 1
Il17a,16171,chr1,20730905,20734496,1171,+,P7458,NM_010552,TSS10877,protein_coding,Ctla-8| Ctla8| IL-17| IL-17A| Il17,interleukin 17A
Il17f,257630,chr1,20777146,20784270,1178,-,P17855,NM_145856,TSS21696,protein_coding,C87042| IL-17F,interleukin 17F
Mcm3,17215,chr1,20803014,20820213,2886,-,P22539,NM_008563,TSS7966,protein_coding,AL033361| C80350| Mcmd| P1| p1.m,minichromosome maintenance complex component 3
6720483E21Rik,77741,chr1,20888650,20890473,1120,-,,NR_040492,TSS11037,lncRNA,.,RIKEN cDNA 6720483E21 gene
Paqr8,74229,chr1,20890622,20938756,4420,+,P7910,NM_028829,TSS18669,protein_coding,1700019B16Rik| 3110001D06Rik,progestin and adipoQ receptor family member VIII
Efhc1,71877,chr1,20951626,20990841,2208,+,P12286,NM_027974,TSS12559,protein_coding,1700029F22Rik| mRib72-1| myoclonin1,EF-hand domain (C-terminal) containing 1
Tram2,170829,chr1,21001397,21079225,1390,-,P20074,NM_177409,TSS11521,protein_coding,C330003D03Rik,translocating chain-associating membrane protein 2
Tmem14a,75712,chr1,21218575,21230167,1928,+,P14435,NM_029398,TSS4084,protein_coding,5730496E24Rik| C85783| PTD011,transmembrane protein 14A
Gsta3,14859,chr1,21240585,21265575,1610,+,P12529,NM_001077353,TSS6589,protein_coding,Gst2-3,"glutathione S-transferase, alpha 3"
Gm4956,241041,chr1,21285246,21298312,1148,-,,NR_002858,TSS22476,misc_RNA,EG241041,predicted gene 4956
Khdc1a,368204,chr1,21349677,21352199,1950,+,P6204,NM_183322,TSS23880,protein_coding,AU014713| C88118| Ndg1,KH domain containing 1A
Khdc1c,433278,chr1,21368331,21369743,844,+,P22928,NM_001033904,TSS22172,protein_coding,Khdc1b,KH domain containing 1C
Khdc1b,98582,chr1,21383556,21386384,2247,+,P19992,NM_001113187,TSS18035,protein_coding,AU014713| AU015226| AU024076| AY238603| C85331| C86372| C88118| Khdc1| Khdc1c,KH domain containing 1B
Kcnq5,226922,chr1,21398403,21961942,6980,-,P22432,NM_001160139,TSS2430,protein_coding,7730402H11| 9230107O05Rik| AA589396| D1Mgi1,"potassium voltage-gated channel, subfamily Q, member 5"
Rims1,116837,chr1,22288422,22805724,4138,-,P20713,NM_183018,TSS19892,protein_coding,C030033M19Rik| mKIAA0340| Rab3ip1| Rim| RIM1| RIM1a| RIM1alpha| Serg1,regulating synaptic membrane exocytosis 1
4933415F23Rik,66755,chr1,23100474,23102253,1780,-,P19747,NM_025746,TSS19213,protein_coding,.,RIKEN cDNA 4933415F23 gene
Ogfrl1,70155,chr1,23366424,23383175,4844,-,P8910,NM_001081079,TSS18344,protein_coding,2210417C17Rik,opioid growth factor receptor-like 1
B3gat2,280645,chr1,23761926,23847858,4355,+,P4089,NM_172124,TSS26819,protein_coding,GlcAT-S| Glcats,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)"
Smap1,98366,chr1,23844825,23922381,3168,-,,NR_110972,TSS24521,protein_coding,1700056O10Rik| 4921514B13Rik| 4921525H11Rik| AI462175,small ArfGAP 1
Sdhaf4,68002,chr1,23995939,24005640,667,-,P25383,NM_026503,TSS23961,protein_coding,1110058L19Rik| 1700001E18Rik| C6orf57,succinate dehydrogenase complex assembly factor 4
Fam135a,68187,chr1,24010758,24100341,6467,-,P3306,NM_026604,TSS4244,protein_coding,4921533L14Rik| AI256732| AI835491,"family with sequence similarity 135, member A"
Col9a1,12839,chr1,24177610,24252738,4143,+,P14088,NM_007740,TSS2622,protein_coding,Col9a-1,"collagen, type IX, alpha 1"
Col19a1,12823,chr1,24257683,24587437,10542,-,P8637,NM_007733,TSS8880,protein_coding,.,"collagen, type XIX, alpha 1"
Lmbrd1,68421,chr1,24678544,24766301,5392,+,P2330,NM_026719,TSS4245,protein_coding,0910001K20Rik| AV347960,LMBR1 domain containing 1
Adgrb3,210933,chr1,25067476,25829707,5522,-,P3687,NM_175642,TSS20402,protein_coding,A830096D10Rik| Bai3,adhesion G protein-coupled receptor B3
Gm20172,100504323,chr1,25276404,25277954,1551,-,P461,NM_001204913,TSS27614,protein_coding,.,"predicted gene, 20172"
4931408C20Rik,210940,chr1,26681801,26687460,4331,-,P18189,NM_001033764,TSS12422,protein_coding,.,RIKEN cDNA 4931408C20 gene
Gm597,210962,chr1,28776122,28780252,2882,-,P4916,NM_001013750,TSS24877,protein_coding,.,predicted gene 597
Phf3,213109,chr1,30802342,30863256,7561,-,P2300,NM_001081080,TSS15542,protein_coding,2310061N19Rik| mKIAA0244,PHD finger protein 3
Ptp4a1,19243,chr1,30940303,30945030,3320,-,P13001,NM_011200,TSS3988,protein_coding,AA415290| AU019864| C130021B01| Prl-1,protein tyrosine phosphatase 4a1
Gm13363,433406,chr1,30941592,30949710,2485,-,,NR_002688,TSS17453,misc_RNA,OTTMUSG00000011595,predicted gene 13363
4931428L18Rik,70988,chr1,31141078,31222656,1094,-,,NR_033445,TSS25185,lncRNA,4930563O14Rik,RIKEN cDNA 4931428L18 gene
Lgsn,266744,chr1,31176435,31204725,1903,+,P4809,NM_153601,TSS17901,protein_coding,Gluld1| lengsin| Lgs,"lengsin, lens protein with glutamine synthetase domain"
Pih1d3,74708,chr1,31222839,31224287,1449,+,P18607,NM_029062,TSS20870,protein_coding,4930521A18Rik,PIH1 domain containing 3
Gm4850,226957,chr1,31264847,31268061,914,+,,NR_015347,TSS5538,misc_RNA,EG226957,predicted pseudogene 4850
Khdrbs2,170771,chr1,32172806,32657738,1359,+,P24307,NM_133235,TSS18753,protein_coding,6330586C16Rik| Slim1| Slm1,"KH domain containing, RNA binding, signal transduction associated 2"
Gm9839,408192,chr1,32519563,32520999,1437,-,P22181,NM_001199956,TSS6568,protein_coding,ENSMUSG00000049830| Senp15,predicted gene 9839
Gm5415,408191,chr1,32543546,32547293,3748,-,P1922,NM_001164286,TSS6791,protein_coding,EG408191| Senp14,predicted gene 5415
Prim2,19076,chr1,33453808,33669794,1976,-,P16482,NM_008922,TSS17647,protein_coding,AI323589,"DNA primase, p58 subunit"
1700001G17Rik,67503,chr1,33669824,33670712,889,+,,NR_033199,TSS15310,lncRNA,.,RIKEN cDNA 1700001G17 gene
Rab23,19335,chr1,33719896,33742564,4487,+,P5526,NM_008999,TSS15127,protein_coding,AW545388| opb| opb2,"RAB23, member RAS oncogene family"
Bag2,213539,chr1,33745484,33757750,1815,-,P2887,NM_145392,TSS17110,protein_coding,2610042A13Rik| BC016230,BCL2-associated athanogene 2
Zfp451,98403,chr1,33761541,33814595,5684,-,P14575,NM_133817,TSS4585,protein_coding,4930515K21Rik| 4933435G09Rik| AI596398| COASTER| Kiaa0576-hp| mKIAA1702| Znf451,zinc finger protein 451
Gm15455,433287,chr1,33835899,33838914,3016,-,P15901,NM_001161816,TSS21088,protein_coding,AA692849| OTTMUSG00000022109,predicted gene 15455
Bend6,320705,chr1,33852052,33907621,2292,-,P26893,NM_177235,TSS7127,protein_coding,B230209C24Rik,BEN domain containing 6
Dst,13518,chr1,33908225,34308662,30001,+,P26247,NM_001276764,TSS4678,protein_coding,2310001O04Rik| A830042E19Rik| ah| athetoid| AW554249| BP230| Bpag| Bpag1| BPAG1-n| dt| Macf2| mKIAA0728| nmf203| nmf339,dystonin
Ccdc115,69668,chr1,34436670,34439672,1705,-,P10147,NM_027159,TSS13552,protein_coding,2310061I09Rik| Ccp1,coiled-coil domain containing 115
Imp4,27993,chr1,34439829,34445747,2249,+,P17765,NM_178601,TSS11182,protein_coding,AA409888| AV031295| D1Wsu40e,"IMP4, U3 small nucleolar ribonucleoprotein"
Ptpn18,19253,chr1,34459746,34473779,1573,+,P22812,NM_011206,TSS1627,protein_coding,FLP1| HSCF| PTP-HSCF| PTP-K1| Ptpk1,"protein tyrosine phosphatase, non-receptor type 18"
Prss39,21755,chr1,34498430,34503062,1246,+,P24466,NM_009355,TSS1340,protein_coding,Tesp1,"protease, serine 39"
Cfc1,12627,chr1,34535648,34544311,1038,+,P18053,NM_007685,TSS13775,protein_coding,AV265756| b2b970Clo| cryptic,"cripto, FRL-1, cryptic family 1"
Prss40,21756,chr1,34552331,34560943,1301,-,P15637,NM_009356,TSS17938,protein_coding,Tesp2,"protease, serine 40"
Amer3,211383,chr1,34579693,34590944,4356,+,P12480,NM_213727,TSS3598,protein_coding,9430069J07Rik| Fam123c,APC membrane recruitment 3
AA619741,241051,chr1,34633535,34636210,2676,-,,NR_033627,TSS9837,misc_RNA,.,expressed sequence AA619741
Arhgef4,226970,chr1,34801722,34812754,2714,+,P7141,NM_183019,TSS16899,protein_coding,9330140K16Rik| Asef| ENSMUSG00000070955,Rho guanine nucleotide exchange factor (GEF) 4
Fam168b,214469,chr1,34813218,34843050,5059,-,P1284,NM_001160235,TSS6261,protein_coding,mKIAA4042,"family with sequence similarity 168, member B"
Plekhb2,226971,chr1,34849959,34879585,3317,+,P360,NM_175421,TSS27531,protein_coding,2310009M15Rik| AU018239| evt-2| Evt2| Phdc,"pleckstrin homology domain containing, family B (evectins) member 2"
Hs6st1,50785,chr1,36068400,36106446,3719,+,P18861,NM_015818,TSS19783,protein_coding,6Ost1,heparan sulfate 6-O-sulfotransferase 1
Uggt1,320011,chr1,36140028,36244302,9029,-,P21031,NM_198899,TSS26265,protein_coding,0910001L17Rik| A930007H10Rik| AA589501| AI414429| AI448372| C820010P03Rik| GT| Ugcgl1| UGT1,UDP-glucose glycoprotein glucosyltransferase 1
Neurl3,214854,chr1,36264602,36273425,2583,-,P8117,NM_153408,TSS5875,protein_coding,2010300P06Rik| Lincr,neuralized E3 ubiquitin protein ligase 3
Arid5a,214855,chr1,36307733,36324029,5910,+,P312,NM_001172206,TSS14724,protein_coding,D430024K22Rik| Mrf1,AT rich interactive domain 5A (MRF1-like)
Kansl3,226976,chr1,36335730,36369181,4663,-,P22446,NM_172652,TSS4409,protein_coding,4632411B12Rik| 4932435K23| AI431067| AI647574| C85723| Kiaa1310| mKIAA1310,KAT8 regulatory NSL complex subunit 3
Fer1l5,100534273,chr1,36372291,36422110,6318,+,P20668,NM_001277076,TSS3127,protein_coding,4930533C12Rik,fer-1-like 5 (C. elegans)
Lman2l,214895,chr1,36423186,36445239,2225,-,P14819,NM_001013374,TSS24293,protein_coding,A630028F14Rik| VIP36-like| VIPL,"lectin, mannose-binding 2-like"
Cnnm4,94220,chr1,36471597,36508776,4582,+,P10769,NM_033570,TSS26255,protein_coding,5430430O18Rik| Acdp4,cyclin M4
Cnnm3,94218,chr1,36511876,36528237,5283,+,P8424,NM_053186,TSS8477,protein_coding,Acdp3| Clp3| mACDP3,cyclin M3
Ankrd23,78321,chr1,36530534,36535729,1954,-,P5522,NM_153502,TSS26222,protein_coding,1110058D09Rik| 2310041C05Rik| AI853437| Darp| MARP3,ankyrin repeat domain 23
Ankrd39,109346,chr1,36538173,36547201,1786,-,P26862,NM_026241,TSS12279,protein_coding,9130416N05Rik| C030004B10Rik,ankyrin repeat domain 39
Sema4c,20353,chr1,36548639,36558381,4289,-,P9427,NM_001304329,TSS19990,protein_coding,AI426163| M-Sema F| sema I| Semacl1| Semaf| Semai,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
Fam178b,381337,chr1,36562696,36683183,2667,-,P25422,NM_001126046,TSS17140,protein_coding,1700024G10Rik| Gm990,"family with sequence similarity 178, member B"
Cox5b,12859,chr1,36691487,36693388,569,+,P16322,NM_009942,TSS26855,protein_coding,.,cytochrome c oxidase subunit Vb
Actr1b,226977,chr1,36699202,36709925,2077,-,P4888,NM_146107,TSS13795,protein_coding,2310066K23Rik| AA960180| AI851923| Arp1b,"ARP1 actin-related protein 1B, centractin beta"
4933424G06Rik,71166,chr1,36714538,36757960,1127,+,,NR_040290,TSS12142,lncRNA,1700104I15Rik,RIKEN cDNA 4933424G06 gene
Zap70,22637,chr1,36761798,36782820,2917,+,P2304,NM_009539,TSS20667,protein_coding,mrtle| mur| Srk| ZAP-70,zeta-chain (TCR) associated protein kinase
Tmem131,56030,chr1,36792189,36939527,6548,-,P22857,NM_018872,TSS27464,protein_coding,2610524E03Rik| CC28| D1Bwg0491e| mKIAA0257| Neg| RW1| YR-23,transmembrane protein 131
Cnga3,12790,chr1,37218278,37263384,3943,+,P13811,NM_001282010,TSS14972,protein_coding,CNG3,cyclic nucleotide gated channel alpha 3
Inpp4a,269180,chr1,37299838,37410740,7029,+,P12739,NM_030266,TSS16368,protein_coding,107kDa| 9630012D15| D130048C09Rik| R74740,"inositol polyphosphate-4-phosphatase, type I"
Coa5,76178,chr1,37417085,37430103,3862,-,P16319,NM_198006,TSS18347,protein_coding,1700001A24Rik| 6330578E17Rik| Pet191,cytochrome C oxidase assembly factor 5
Unc50,67387,chr1,37430172,37439124,1412,+,P21191,NM_026123,TSS13175,protein_coding,1110002A21Rik| GMH1| UNCL| URP,unc-50 homolog (C. elegans)
Mgat4a,269181,chr1,37439340,37541016,7392,-,P14155,NM_173870,TSS14638,protein_coding,9530018I07Rik| glcNAc-T-IVa| GnT-IVa,"mannoside acetylglucosaminyltransferase 4, isoenzyme A"
4930594C11Rik,77633,chr1,37485851,37488605,2755,-,,NR_024017,TSS23261,misc_RNA,.,RIKEN cDNA 4930594C11 gene
2010300C02Rik,72097,chr1,37611676,37719811,4361,-,P7493,NM_028096,TSS1402,protein_coding,.,RIKEN cDNA 2010300C02 gene
Tsga10,211484,chr1,37754572,37865298,4515,-,P12251,NM_207228,TSS16720,protein_coding,4933432N21Rik| AI843383| Gm217| Mtsga10,testis specific 10
Lipt1,623661,chr1,37872206,37876298,1555,+,P1582,NM_001037918,TSS7072,protein_coding,EG623661,lipoyltransferase 1
Mitd1,69028,chr1,37878890,37890411,1229,-,P20633,NM_026913,TSS17833,protein_coding,1500032H18Rik,"MIT, microtubule interacting and transport, domain containing 1"
Mrpl30,107734,chr1,37890553,37898333,691,+,P10995,NM_027098,TSS3294,protein_coding,2310001L22Rik| MRP-L28| Rpml28,mitochondrial ribosomal protein L30
Lyg2,332427,chr1,37905923,37916493,2564,-,P14831,NM_001033427,TSS13893,protein_coding,Gm776,lysozyme G-like 2
Lyg1,69541,chr1,37946738,37957759,798,-,P26212,NM_027111,TSS24662,protein_coding,2300002O18Rik,lysozyme G-like 1
Txndc9,98258,chr1,37983867,37997208,4596,-,P8556,NM_172054,TSS27098,protein_coding,AI098020| APACD,thioredoxin domain containing 9
Eif5b,226982,chr1,37998010,38055579,7797,+,P17006,NM_198303,TSS16113,protein_coding,A030003E17Rik| BC018347| IF2,eukaryotic translation initiation factor 5B
Rev1,56210,chr1,38052786,38129662,4262,-,P17878,NM_019570,TSS19763,protein_coding,1110027I23Rik| AU022044| Rev1l,"REV1, DNA directed polymerase"
Aff3,16764,chr1,38175991,38627244,7251,-,P173,NM_001290814,TSS19299,protein_coding,3222402O04Rik| A730046J16| LAF-4| Laf4,"AF4 /FMR2 family, member 3"
Lonrf2,381338,chr1,38794509,38821215,5077,-,P4793,NM_001029878,TSS24943,protein_coding,2900060P06Rik| AI851349,LON peptidase N-terminal domain and ring finger 2
Chst10,98388,chr1,38863873,38898160,3119,-,P5692,NM_145142,TSS2687,protein_coding,AI507003| AU041319| Hnk-1st| ST,carbohydrate sulfotransferase 10
Nms,433292,chr1,38939149,38950276,1001,+,P15731,NM_001011684,TSS19390,protein_coding,AB164466,neuromedin S
Pdcl3,68833,chr1,38987814,38997236,1706,+,P21659,NM_026850,TSS13148,protein_coding,1110061A19Rik| C80025| Viaf1,phosducin-like 3
