Entry	Base_Accession	Protein_Family	Index_in_full_fasta	Gene_Name
O00453	O00453	LST1 family	709	LST1
O00459	O00459	PI3K p85 subunit family	710	PIK3R2
O00461	O00461	GOLIM4 family	711	GOLIM4
O00462	O00462	Glycosyl hydrolase 2 family	712	MANBA
O00463	O00463	TNF receptor-associated factor family, A subfamily	713	TRAF5
O00468	O00468	Not available	714	AGRN
O00469	O00469	Not available	715	PLOD2
O00470	O00470	TALE/MEIS homeobox family	716	MEIS1
O00471	O00471	SEC10 family	717	EXOC5
O00472	O00472	ELL/occludin family	718	ELL2
O00476	O00476	Major facilitator superfamily, Sodium/anion cotransporter family	719	SLC17A3
O00478	O00478	Immunoglobulin superfamily, BTN/MOG family	720	BTN3A3
O00481	O00481	Immunoglobulin superfamily, BTN/MOG family	721	BTN3A1
O00482	O00482	Nuclear hormone receptor family, NR5 subfamily	722	NR5A2
O00483	O00483	Complex IV COXFA4 subunit family	723	COXFA4
O00487	O00487	Peptidase M67A family, PSMD14 subfamily	724	PSMD14
O00488	O00488	ZNF593/BUD20 C2H2-type zinc-finger protein family	725	ZNF593
O00499	O00499	Not available	726	BIN1
O00501	O00501	Claudin family	727	CLDN5
O00505	O00505	Importin alpha family	728	KPNA3
O00506	O00506	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	729	STK25
O00507	O00507	Peptidase C19 family	730	USP9Y
O00512	O00512	BCL9 family	731	BCL9
O00519	O00519	Amidase family	732	FAAH
O00522	O00522	Not available	733	KRIT1
O00526	O00526	Uroplakin-2 family	734	UPK2
O00533	O00533	Immunoglobulin superfamily, L1/neurofascin/NgCAM family	735	CHL1
O00541	O00541	Pescadillo family	736	PES1
O00548	O00548	Not available	737	DLL1
O00555	O00555	Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1A subfamily	738	CACNA1A
O00559	O00559	Not available	739	EBAG9
O00560	O00560	Not available	740	SDCBP
O00562	O00562	PtdIns transfer protein family, PI transfer class IIA subfamily	741	PITPNM1
O00566	O00566	MPP10 family	742	MPHOSPH10
O00567	O00567	NOP5/NOP56 family	743	NOP56
O00571	O00571	DEAD box helicase family, DDX3/DED1 subfamily	744	DDX3X
O00574	O00574	G protein-coupled receptor 1 family	745	CXCR6
O00584	O00584	RNase T2 family	746	RNASET2
O00585	O00585	Intercrine beta (chemokine CC) family	747	CCL21
O00587	O00587	Glycosyltransferase 31 family	748	MFNG
O00590	O00590	G protein-coupled receptor 1 family, Atypical chemokine receptor subfamily	749	ACKR2
O00591	O00591	Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRP sub-subfamily	750	GABRP
O00592	O00592	Podocalyxin family	751	PODXL
O00602	O00602	Ficolin lectin family	752	FCN1
O00622	O00622	CCN family	753	CCN1
O00623	O00623	Pex2/pex10/pex12 family	754	PEX12
O00624	O00624	Major facilitator superfamily, Sodium/anion cotransporter family	755	SLC17A2
O00625	O00625	Pirin family	756	PIR
O00626	O00626	Intercrine beta (chemokine CC) family	757	CCL22
O00628	O00628	WD repeat peroxin-7 family	758	PEX7
O00629	O00629	Importin alpha family	759	KPNA4
O00631	O00631	Sarcolipin family	760	SLN
O00635	O00635	Not available	761	TRIM38
O00712	O00712	CTF/NF-I family	762	NFIB
O00716	O00716	E2F/DP family	763	E2F3
O00743	O00743	PPP phosphatase family, PP-6 (PP-V) subfamily	764	PPP6C
O00744	O00744	Wnt family	765	WNT10B
O00746	O00746	NDK family	766	NME4
O00748	O00748	Type-B carboxylesterase/lipase family	767	CES2
O00750	O00750	PI3/PI4-kinase family	768	PIK3C2B
O00754	O00754	Glycosyl hydrolase 38 family	769	MAN2B1
O00755	O00755	Wnt family	770	WNT7A
O00757	O00757	FBPase class 1 family	771	FBP2
O00762	O00762	Ubiquitin-conjugating enzyme family	772	UBE2C
O00763	O00763	Not available	773	ACACB
O00764	O00764	Pyridoxine kinase family	774	PDXK
O00767	O00767	Fatty acid desaturase type 1 family	775	SCD
O14490	O14490	SAPAP family	776	DLGAP1
O14492	O14492	SH2B adapter family	777	SH2B2
O14493	O14493	Claudin family	778	CLDN4
O14494	O14494	PA-phosphatase related phosphoesterase family	779	PLPP1
O14495	O14495	PA-phosphatase related phosphoesterase family	780	PLPP3
O14497	O14497	Not available	781	ARID1A
O14503	O14503	Not available	782	BHLHE40
O14508	O14508	Not available	783	SOCS2
O14511	O14511	Neuregulin family	784	NRG2
O14512	O14512	Not available	785	SOCS7
O14513	O14513	Not available	786	NCKAP5
O14514	O14514	G protein-coupled receptor 2 family, LN-TM7 subfamily	787	ADGRB1
O14519	O14519	CDK2AP family	788	CDK2AP1
O14520	O14520	MIP/aquaporin (TC 1.A.8) family	789	AQP7
O14521	O14521	CybS family	790	SDHD
O14522	O14522	Protein-tyrosine phosphatase family, Receptor class 2B subfamily	791	PTPRT
O14523	O14523	Not available	792	C2CD2L
O14524	O14524	NEMP family	793	NEMP1
O14524-2	O14524	NEMP family	794	NEMP1
O14525	O14525	Astrotactin family	795	ASTN1
O14526	O14526	FCHO family	796	FCHO1
O14529	O14529	CUT homeobox family	797	CUX2
O14530	O14530	Not available	798	TXNDC9
O14531	O14531	Metallo-dependent hydrolases superfamily, Hydantoinase/dihydropyrimidinase family	799	DPYSL4
O14543	O14543	Not available	800	SOCS3
O14544	O14544	Not available	801	SOCS6
O14548	O14548	Cytochrome c oxidase VIIa family	802	COX7A2L
O14556	O14556	Glyceraldehyde-3-phosphate dehydrogenase family	803	GAPDHS
O14558	O14558	Small heat shock protein (HSP20) family	804	HSPB6
O14559	O14559	PX domain-containing GAP family	805	ARHGAP33
O14561	O14561	Acyl carrier protein (ACP) family	806	NDUFAB1
O14569	O14569	Not available	807	CYB561D2
O14576	O14576	Dynein intermediate chain family	808	DYNC1I1
O14578	O14578	Protein kinase superfamily, AGC Ser/Thr protein kinase family	809	CIT
O14579	O14579	COPE family	810	COPE
O14593	O14593	Not available	811	RFXANK
O14594	O14594	Aggrecan/versican proteoglycan family	812	NCAN
O14595	O14595	Not available	813	CTDSP2
O14607	O14607	UTX family	814	UTY
O14610	O14610	G protein gamma family	815	GNGT2
O14613	O14613	BORG/CEP family	816	CDC42EP2
O14617	O14617	Adaptor complexes large subunit family	817	AP3D1
O14618	O14618	Cu-Zn superoxide dismutase family	818	CCS
O14625	O14625	Intercrine alpha (chemokine CxC) family	819	CXCL11
O14626	O14626	G protein-coupled receptor 1 family	820	GPR171
O14627	O14627	Caudal homeobox family	821	CDX4
O14628	O14628	Krueppel C2H2-type zinc-finger protein family	822	ZNF195
O14633	O14633	LCE family	823	LCE2B
O14638	O14638	Nucleotide pyrophosphatase/phosphodiesterase family	824	ENPP3
O14639	O14639	Not available	825	ABLIM1
O14640	O14640	DSH family	826	DVL1
O14641	O14641	DSH family	827	DVL2
O14645	O14645	Inner dynein arm light chain family	828	DNALI1
O14646	O14646	SNF2/RAD54 helicase family	829	CHD1
O14647	O14647	SNF2/RAD54 helicase family	830	CHD2
O14649	O14649	Two pore domain potassium channel (TC 1.A.1.8) family	831	KCNK3
O14653	O14653	GOSR2 family	832	GOSR2
O14654	O14654	Not available	833	IRS4
O14656	O14656	ClpA/ClpB family, Torsin subfamily	834	TOR1A
O14656-2	O14656	ClpA/ClpB family, Torsin subfamily	835	TOR1A
O14657	O14657	ClpA/ClpB family, Torsin subfamily	836	TOR1B
O14662	O14662	Syntaxin family	837	STX16
O14669	O14669	Not available	838	PRRG2
O14672	O14672	Not available	839	ADAM10
O14678	O14678	ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily	840	ABCD4
O14681	O14681	EI24 family	841	EI24
O14682	O14682	Not available	842	ENC1
O14684	O14684	MAPEG family	843	PTGES
O14686	O14686	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, TRX/MLL subfamily	844	KMT2D
O14713	O14713	Not available	845	ITGB1BP1
O14717	O14717	Class I-like SAM-binding methyltransferase superfamily, C5-methyltransferase family	846	TRDMT1
O14727	O14727	Not available	847	APAF1
