species,tissue_type,cancer_type,cell_type,cell_name,marker,Symbol,Genename
Human,Salivary gland,Normal,Normal cell,B cell,CD20,MS4A1,membrane spanning 4-domains A1
Human,Salivary gland,Normal,Normal cell,Plasma cell,CD138,SDC1,syndecan 1
Human,Salivary gland,Normal,Normal cell,T helper cell,CD4,CD4,CD4 molecule
Human,Salivary gland,Normal,Normal cell,B1 cell,CD5,CD5,CD5 molecule
Human,Salivary gland,Normal,Normal cell,Follicular helper (Tfh) T cell,BCL6,BCL6,BCL6 transcription repressor
Human,Salivary gland,Normal,Normal cell,T cell,CD5,CD5,CD5 molecule
Human,Salivary gland,Normal,Normal cell,Basal cell,Cytokeratin 5,,
Human,Salivary gland,Mucoepidermoid Carcinoma,Cancer cell,Stem cell,CD44,CD44,CD44 molecule (Indian blood group)
Human,Salivary gland,Mucoepidermoid Carcinoma,Cancer cell,Stem cell,NANOG,NANOG,Nanog homeobox
Human,Salivary gland,Mucoepidermoid Carcinoma,Cancer cell,Stem cell,BMI1,BMI1,COMMD3-BMI1 readthrough
Human,Salivary gland,Normal,Normal cell,Myoepithelial cell,P63,,
Human,Salivary gland,Normal,Normal cell,Myoepithelial cell,Actin,,
Human,Salivary gland,Normal,Normal cell,Myoepithelial cell,S100,S100A1,S100 calcium binding protein A1
Human,Salivary gland,Normal,Normal cell,Myoepithelial cell,Calponin,,
Human,Salivary gland,Normal,Normal cell,Regulatory T(Treg) cell,CD25,IL2RA,interleukin 2 receptor subunit alpha
Human,Salivary gland,Normal,Normal cell,Naive B cell,CD19,CD19,CD19 molecule
Human,Salivary gland,Normal,Normal cell,Germinal center B cell,CD19,CD19,CD19 molecule
Human,Salivary gland,Normal,Normal cell,Responder T cell,CD3,,
Human,Salivary gland,Normal,Normal cell,Memory B cell,CD19,CD19,CD19 molecule
Human,Salivary gland,Normal,Normal cell,Regulatory T(Treg) cell,CTLA4,CTLA4,cytotoxic T-lymphocyte associated protein 4
Human,Salivary gland,Normal,Normal cell,Naive B cell,IGD,,
Human,Salivary gland,Normal,Normal cell,Memory B cell,CD27,CD27,CD27 molecule
Human,Salivary gland,Normal,Normal cell,Responder T cell,CD4,CD4,CD4 molecule
Human,Salivary gland,Normal,Normal cell,Germinal center B cell,CD38,CD38,CD38 molecule
Human,Salivary gland,Normal,Normal cell,Antibody-secreting cell,CD138,SDC1,syndecan 1
Human,Salivary gland,Normal,Normal cell,Pathogenic T peripheral helper cell,CD4,CD4,CD4 molecule
Human,Salivary gland,Normal,Normal cell,T helper(Th) cell,CD4,CD4,CD4 molecule
Human,Salivary gland,Normal,Normal cell,Pathogenic T peripheral helper cell,ICOS,ICOS,inducible T cell costimulator
Human,Salivary gland,Normal,Normal cell,T follicular helper(Tfh) cell,ICOS,ICOS,inducible T cell costimulator
Human,Salivary gland,Normal,Normal cell,T follicular helper(Tfh) cell,CD4,CD4,CD4 molecule
Human,Salivary gland,Normal,Normal cell,T follicular helper(Tfh) cell,CXCR5,CXCR5,C-X-C motif chemokine receptor 5
Human,Salivary gland,Normal,Normal cell,T follicular helper(Tfh) cell,PD-1,PDCD1,programmed cell death 1
Human,Salivary gland,Normal,Normal cell,T follicular helper(Tfh) cell,Bcl6,,
Human,Salivary gland,Normal,Normal cell,Pathogenic T peripheral helper cell,PD-1,PDCD1,programmed cell death 1
Mouse,Submandibular gland,Normal,Normal cell,Macrophage,Axl,Axl,AXL receptor tyrosine kinase
Mouse,Submandibular gland,Normal,Normal cell,Endothelial cell,Pecam1,Pecam1,platelet/endothelial cell adhesion molecule 1
Mouse,Submandibular gland,Normal,Normal cell,Macrophage,Aif1,Aif1,allograft inflammatory factor 1
Mouse,Submandibular gland,Normal,Normal cell,Macrophage,Iba1,Iba1,allograft inflammatory factor 1
Mouse,Submandibular gland,Normal,Normal cell,Macrophage,Cd11c,Itgax,integrin alpha X
Mouse,Submandibular gland,Normal,Normal cell,Macrophage,Fcgr1,Fcgr1,"Fc receptor, IgG, high affinity I"
Mouse,Submandibular gland,Normal,Normal cell,Endothelial cell,Cd31,Pecam1,platelet/endothelial cell adhesion molecule 1
Mouse,Submandibular gland,Normal,Normal cell,Macrophage,Cx3cr1 ,,
Mouse,Submandibular gland,Normal,Normal cell,Epithelial cell,Keratin-5,,
Mouse,Submandibular gland,Normal,Normal cell,Macrophage,F4/80,Adgre1,adhesion G protein-coupled receptor E1
Human,Salivary gland,Normal,Normal cell,Myeloid dendritic cell,CD1C,CD1C,CD1c molecule
Human,Salivary gland,Normal,Normal cell,Natural killer cell,KLRF1,KLRF1,killer cell lectin like receptor F1
Human,Salivary gland,Normal,Normal cell,Macrophage,SPP1,SPP1,CXXC finger protein 1
Human,Salivary gland,Normal,Normal cell,Cycling cell,MKI67,MKI67,marker of proliferation Ki-67
Human,Salivary gland,Normal,Normal cell,Monocyte,CD14,CD14,NADH:ubiquinone oxidoreductase subunit A2
Human,Salivary gland,Normal,Normal cell,Megakaryocyte,MYL9,MYL9,myosin light chain 9
Human,Salivary gland,Normal,Normal cell,Plasma cell,IGKC,IGKC,immunoglobulin kappa constant
Human,Salivary gland,Normal,Normal cell,Plasmacytoid dendritic cell(pDC),IL3RA,IL3RA,interleukin 3 receptor subunit alpha
Human,Salivary gland,Normal,Normal cell,Monocyte,FCGR3A,FCGR3A,Fc fragment of IgG receptor IIIb
Human,Salivary gland,Normal,Normal cell,Red blood cell (erythrocyte),HBB,HBB,keratin 89 pseudogene
Human,Salivary gland,Normal,Normal cell,T cell,CD3D,CD3D,CD3d molecule
Human,Salivary gland,Normal,Normal cell,B cell,CD79A,CD79A,CD79a molecule
Human,Salivary gland,Normal,Normal cell,Macrophage,FABP4,FABP4,fatty acid binding protein 4
Human,Salivary gland,Normal,Normal cell,Macrophage,FCN1,FCN1,ficolin 1
Human,Salivary gland,Normal,Normal cell,Serous cell,AMY1,AMY1A,amylase alpha 1A
Human,Salivary gland,Normal,Normal cell,Serous cell,LPO,LPO,lactoperoxidase
Human,Salivary gland,Normal,Normal cell,Serous cell,STATH,STATH,statherin
Mouse,Salivary gland,Normal,Normal cell,Innate lymphoid cell 1,CD49b,,
Mouse,Salivary gland,Normal,Normal cell,Innate lymphoid cell 1,CD161,Klrb1c,killer cell lectin-like receptor subfamily B member 1C
Mouse,Salivary gland,Normal,Normal cell,Innate lymphoid cell 1,CD69,,
Human,Salivary gland,Normal,Normal cell,Innate lymphoid cell,CD103,ITGAE,integrin subunit alpha E
Mouse,Salivary gland,Normal,Normal cell,Innate lymphoid cell 1,CD103,Itgae,"integrin alpha E, epithelial-associated"
Mouse,Salivary gland,Normal,Normal cell,Innate lymphoid cell 1,CD127,Il7r,interleukin 7 receptor
Mouse,Salivary gland,Normal,Normal cell,Innate lymphoid cell 1,CD49a,,
Mouse,Salivary gland,Normal,Normal cell,Innate lymphoid cell 1,CD200R,Cd200r1,CD200 receptor 1
Mouse,Salivary gland,Normal,Normal cell,Innate lymphoid cell 1,CD253,,
Mouse,Salivary gland,Normal,Normal cell,Innate lymphoid cell 1,CD45,,
Mouse,Salivary gland,Normal,Normal cell,Innate lymphoid cell 1,CD335,,
Mouse,Salivary gland,Normal,Normal cell,Innate lymphoid cell 1,CD61,Itgb3,integrin beta 3
